experiment,horizon,comparison_role,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,n_cells,status
e3_exact_online,20,secondary_baseline,bayes_sample,finite_ap_index,reward,-0.61,-0.775,-0.44,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,finite_ap_index,exact_loss,0.41357032661530657,0.36175835086468844,0.46542554105090517,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,greedy,pseudo_regret,0.5663254842274312,0.42721320805747043,0.712933231099336,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,greedy,reward,-0.685,-0.8651249999999999,-0.505,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,greedy,exact_loss,0.3528644349734192,0.29840470079556464,0.4080762805671951,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ids,pseudo_regret,0.4414559940222887,0.3343171056386234,0.5489491289476311,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ids,reward,-0.595,-0.75,-0.44,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ids,exact_loss,0.37906292353350723,0.32834630349882504,0.4323299813264064,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,knowledge_gradient,pseudo_regret,0.3988482082599357,0.2815025652891889,0.5166347898798117,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,knowledge_gradient,reward,-0.53,-0.705,-0.355,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,knowledge_gradient,exact_loss,0.3836150380499534,0.32993193865402975,0.43837640690359153,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,ts,pseudo_regret,-0.11154021163223993,-0.22472324507443991,0.00023622036424269957,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,ts,reward,0.065,-0.11,0.24,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,ts,exact_loss,-0.08730112979971309,-0.1494103428277356,-0.023485758367676354,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ucb1,pseudo_regret,-0.49900770667311606,-0.6420719014155462,-0.3605514574816921,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ucb1,reward,0.415,0.225,0.6,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,ucb1,exact_loss,-0.5173144358117512,-0.5911371394713383,-0.4450170673910316,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,bayes_ucb,pseudo_regret,0.08311193288514876,-0.09941173569983218,0.2825998582391549,200,200,200,episode,1,ok
