experiment,policy,stratum,low_horizon,high_horizon,metric,low_mean,high_mean,mean_difference,ci_low,ci_high,n_fixtures,analysis_role
e1_horizon,counts_regret,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.10597826086956522,0.08967391304347826,-0.016304347826086956,-0.04076086956521739,0.005434782608695652,92,post_hoc_secondary
e1_horizon,counts_regret,all_matched,1,10,non_greedy_probability,0.1197,0.15035,0.03064999999999999,0.014899375,0.045875624999999996,100,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_requires_exploration,1,10,non_greedy_probability,0.1284375,0.2325,0.10406250000000002,0.085625,0.12874999999999998,8,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.11894021739130435,0.14320652173913045,0.024266304347826083,0.0077445652173912995,0.03972894021739129,92,post_hoc_secondary
e1_horizon,counts_regret,all_matched,1,10,optimal_agreement,0.8975,0.7825,-0.115,-0.185,-0.0525,100,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_requires_exploration,1,10,optimal_agreement,0.9375,0.125,-0.8125,-1.0,-0.53125,8,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,0.8940217391304348,0.8396739130434783,-0.05434782608695652,-0.10869565217391304,-0.005434782608695652,92,post_hoc_secondary
e1_horizon,counts_regret,all_matched,1,10,exact_loss,0.011218614718614716,0.021357979325103152,0.010139364606488437,0.0034147913179564554,0.016606535895648165,100,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_requires_exploration,1,10,exact_loss,0.002232142857142856,0.045097855915102625,0.04286571305795977,0.020991434161077193,0.06286245307605043,8,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.012000047054394879,0.019293642230320592,0.0072935951759257114,0.0004366269540534981,0.013685863961960436,92,post_hoc_secondary
e1_horizon,counts_regret,all_matched,1,10,exploration_required,0.0,0.08,0.08,0.03,0.14,100,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,8,post_hoc_secondary
e1_horizon,counts_regret,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,92,post_hoc_secondary
e2_assistance,bayes_explore,all_matched,1,10,non_greedy_choice,0.0,0.0175,0.0175,0.0,0.04,100,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_requires_exploration,1,10,non_greedy_choice,0.0,0.0,0.0,0.0,0.0,6,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.0,0.018617021276595744,0.018617021276595744,0.0,0.0425531914893617,94,post_hoc_secondary
e2_assistance,bayes_explore,all_matched,1,10,non_greedy_probability,0.008925,0.1052,0.09627500000000001,0.07859937499999999,0.11537624999999997,100,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_requires_exploration,1,10,non_greedy_probability,0.0008333333333333334,0.2025,0.20166666666666666,0.18041666666666667,0.22583333333333333,6,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.00944148936170213,0.09898936170212766,0.08954787234042552,0.07132978723404255,0.10888364361702124,94,post_hoc_secondary
e2_assistance,bayes_explore,all_matched,1,10,optimal_agreement,1.0,0.9225,-0.0775,-0.1325,-0.03,100,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_requires_exploration,1,10,optimal_agreement,1.0,0.0,-1.0,-1.0,-1.0,6,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,1.0,0.9813829787234043,-0.018617021276595744,-0.0425531914893617,0.0,94,post_hoc_secondary
e2_assistance,bayes_explore,all_matched,1,10,exact_loss,0.0,0.003661407887287158,0.003661407887287158,0.0013683434348061385,0.006538659427080187,100,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_requires_exploration,1,10,exact_loss,0.0,0.03674488004757803,0.03674488004757803,0.018637803020953154,0.057658887798874105,6,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.0,0.0015496968983324214,0.0015496968983324214,0.0,0.0036619666833694223,94,post_hoc_secondary
e2_assistance,bayes_explore,all_matched,1,10,exploration_required,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,bayes_explore,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,counts_explore,all_matched,1,10,non_greedy_choice,0.085,0.06,-0.025,-0.07,0.0175,100,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_requires_exploration,1,10,non_greedy_choice,0.041666666666666664,0.16666666666666666,0.125,-0.08333333333333333,0.3333333333333333,6,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.08776595744680851,0.05319148936170213,-0.034574468085106384,-0.08244680851063829,0.007978723404255319,94,post_hoc_secondary
e2_assistance,counts_explore,all_matched,1,10,non_greedy_probability,0.09455000000000002,0.144325,0.04977499999999999,0.029249374999999998,0.06892562499999999,100,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_requires_exploration,1,10,non_greedy_probability,0.10208333333333335,0.27499999999999997,0.1729166666666667,0.12374999999999997,0.22750000000000004,6,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.0940691489361702,0.1359840425531915,0.041914893617021276,0.02159507978723404,0.06095811170212764,94,post_hoc_secondary
e2_assistance,counts_explore,all_matched,1,10,optimal_agreement,0.915,0.8775,-0.0375,-0.1,0.025,100,post_hoc_secondary
