experiment,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_fixtures,unit
e1_horizon,5,counts_neutral,counts_regret,prediction_entropy,-0.12388747510811085,-0.14274817868781348,-0.10496954783446387,100,underlying fixture
e1_horizon,10,counts_explore,counts_neutral,exact_loss,-0.0068360852579466514,-0.011934722843897403,-0.002582201279137625,100,underlying fixture
e1_horizon,10,counts_explore,counts_neutral,distribution_exact_loss,0.0071713462795608505,0.004205055877707634,0.01008786143301412,100,underlying fixture
e1_horizon,10,counts_explore,counts_neutral,optimal_agreement,0.075,0.035,0.12,100,underlying fixture
e1_horizon,10,counts_explore,counts_neutral,posterior_mean_greedy,0.01,-0.03,0.05,100,underlying fixture
e1_horizon,10,counts_explore,counts_neutral,prediction_entropy,0.13040842836714103,0.11069043797774937,0.14942117607772784,100,underlying fixture
e1_horizon,10,counts_explore,counts_regret,exact_loss,-0.0074937298618316574,-0.012944472597534725,-0.0028425713234407155,100,underlying fixture
e1_horizon,10,counts_explore,counts_regret,distribution_exact_loss,-0.006163097472319029,-0.008612094118881433,-0.003870969932454537,100,underlying fixture
e1_horizon,10,counts_explore,counts_regret,optimal_agreement,0.0625,0.0275,0.1,100,underlying fixture
e1_horizon,10,counts_explore,counts_regret,posterior_mean_greedy,0.035,0.0,0.0725,100,underlying fixture
e1_horizon,10,counts_explore,counts_regret,prediction_entropy,0.010060283421184956,-0.004019957837294252,0.024182167877739094,100,underlying fixture
e1_horizon,10,counts_neutral,counts_regret,exact_loss,-0.0006576446038850059,-0.004782389714010839,0.0031083410355663465,100,underlying fixture
e1_horizon,10,counts_neutral,counts_regret,distribution_exact_loss,-0.013334443751879881,-0.01630703011696953,-0.010528766288039192,100,underlying fixture
e1_horizon,10,counts_neutral,counts_regret,optimal_agreement,-0.0125,-0.045,0.02,100,underlying fixture
e1_horizon,10,counts_neutral,counts_regret,posterior_mean_greedy,0.025,0.0,0.05,100,underlying fixture
e1_horizon,10,counts_neutral,counts_regret,prediction_entropy,-0.12034814494595607,-0.1402322677683899,-0.09925027099833815,100,underlying fixture
e2_assistance,1,bayes_explore,counts_explore,exact_loss,-0.0070806277056277055,-0.012224161255411254,-0.0026948051948051956,100,underlying fixture
e2_assistance,1,bayes_explore,counts_explore,distribution_exact_loss,-0.008724729437229439,-0.012495820481601734,-0.005497445211038963,100,underlying fixture
e2_assistance,1,bayes_explore,counts_explore,optimal_agreement,0.085,0.0425,0.135,100,underlying fixture
e2_assistance,1,bayes_explore,counts_explore,posterior_mean_greedy,0.085,0.0425,0.13256249999999908,100,underlying fixture
e2_assistance,1,bayes_explore,counts_explore,prediction_entropy,-0.12905355165310536,-0.16300642912927282,-0.09651572044531326,100,underlying fixture
e2_assistance,1,bayes_explore,dp_values_explore,exact_loss,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,dp_values_explore,distribution_exact_loss,0.0006994859307359304,0.0003282880140692637,0.0011309016504329002,100,underlying fixture
e2_assistance,1,bayes_explore,dp_values_explore,optimal_agreement,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,dp_values_explore,posterior_mean_greedy,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,dp_values_explore,prediction_entropy,0.025939336939472337,0.01387455851341356,0.039597645280967916,100,underlying fixture
e2_assistance,1,bayes_explore,means_explore,exact_loss,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,means_explore,distribution_exact_loss,0.0005595508658008648,0.0002620089285714278,0.0009004423701298688,100,underlying fixture
e2_assistance,1,bayes_explore,means_explore,optimal_agreement,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,means_explore,posterior_mean_greedy,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,means_explore,prediction_entropy,0.018881684190777525,0.010058243626423944,0.02885820070089094,100,underlying fixture
e2_assistance,1,bayes_explore,recommendation_explore,exact_loss,-0.0005492424242424242,-0.00125,0.0,100,underlying fixture
e2_assistance,1,bayes_explore,recommendation_explore,distribution_exact_loss,-0.0008772727272727299,-0.0014385836038961074,-0.00041040652056277267,100,underlying fixture
e2_assistance,1,bayes_explore,recommendation_explore,optimal_agreement,0.0125,0.0,0.03,100,underlying fixture
e2_assistance,1,bayes_explore,recommendation_explore,posterior_mean_greedy,0.0125,0.0,0.02756249999999909,100,underlying fixture
e2_assistance,1,bayes_explore,recommendation_explore,prediction_entropy,-0.032752528163499474,-0.0482196502085712,-0.019143970916452674,100,underlying fixture
e2_assistance,1,counts_explore,dp_values_explore,exact_loss,0.0070806277056277055,0.002789366883116883,0.01223775703463203,100,underlying fixture
e2_assistance,1,counts_explore,dp_values_explore,distribution_exact_loss,0.00942421536796537,0.005823688446969701,0.013560875946969697,100,underlying fixture
e2_assistance,1,counts_explore,dp_values_explore,optimal_agreement,-0.085,-0.135,-0.04243750000000091,100,underlying fixture
e2_assistance,1,counts_explore,dp_values_explore,posterior_mean_greedy,-0.085,-0.135,-0.0425,100,underlying fixture
e2_assistance,1,counts_explore,dp_values_explore,prediction_entropy,0.1549928885925777,0.1156934052164661,0.19595211571641086,100,underlying fixture
e2_assistance,1,counts_explore,means_explore,exact_loss,0.0070806277056277055,0.0027570346320346328,0.01250818452380952,100,underlying fixture
e2_assistance,1,counts_explore,means_explore,distribution_exact_loss,0.009284280303030303,0.005704586038961039,0.01342576231060606,100,underlying fixture
