experiment,horizon,policy,metric,mean,ci_low,ci_high,n_fixtures,n_queries
e1_horizon,10,counts_regret,exact_loss,0.021357979325103152,0.013858095197293559,0.02957263349017231,100,400
e1_horizon,10,counts_regret,distribution_exact_loss,0.03476533127205519,0.02933631442128179,0.04049978065334712,100,400
e1_horizon,10,counts_regret,optimal_agreement,0.7825,0.705,0.8525,100,400
e1_horizon,10,counts_regret,posterior_mean_greedy,0.9075,0.855,0.9525,100,400
e1_horizon,10,counts_regret,prediction_entropy,0.3591593785767559,0.3286098479110788,0.3895910930727689,100,400
e2_assistance,1,bayes_explore,exact_loss,0.0,0.0,0.0,100,400
e2_assistance,1,bayes_explore,distribution_exact_loss,0.0007271374458874459,0.00033979843073593123,0.0011750581709956713,100,400
e2_assistance,1,bayes_explore,optimal_agreement,1.0,1.0,1.0,100,400
e2_assistance,1,bayes_explore,posterior_mean_greedy,1.0,1.0,1.0,100,400
e2_assistance,1,bayes_explore,prediction_entropy,0.05316661476010047,0.030135772676017768,0.07993663998230065,100,400
e2_assistance,1,counts_explore,exact_loss,0.0070806277056277055,0.0027462121212121215,0.012343073593073593,100,400
e2_assistance,1,counts_explore,distribution_exact_loss,0.009451866883116887,0.0058546895292207815,0.013688905573593074,100,400
e2_assistance,1,counts_explore,optimal_agreement,0.915,0.865,0.96,100,400
e2_assistance,1,counts_explore,posterior_mean_greedy,0.915,0.865,0.9575,100,400
e2_assistance,1,counts_explore,prediction_entropy,0.18222016641320582,0.13945360394843082,0.22922533193333422,100,400
e2_assistance,1,dp_values_explore,exact_loss,0.0,0.0,0.0,100,400
e2_assistance,1,dp_values_explore,distribution_exact_loss,2.7651515151515538e-05,7.556818181818258e-06,5.4545454545455176e-05,100,400
e2_assistance,1,dp_values_explore,optimal_agreement,1.0,1.0,1.0,100,400
e2_assistance,1,dp_values_explore,posterior_mean_greedy,1.0,1.0,1.0,100,400
e2_assistance,1,dp_values_explore,prediction_entropy,0.02722727782062814,0.010763237204649646,0.047308702688508064,100,400
e2_assistance,1,means_explore,exact_loss,0.0,0.0,0.0,100,400
e2_assistance,1,means_explore,distribution_exact_loss,0.00016758658008658112,7.121212121212167e-05,0.0002842004870129894,100,400
e2_assistance,1,means_explore,optimal_agreement,1.0,1.0,1.0,100,400
e2_assistance,1,means_explore,posterior_mean_greedy,1.0,1.0,1.0,100,400
e2_assistance,1,means_explore,prediction_entropy,0.034284930569322955,0.015504324562239848,0.05734066981337986,100,400
e2_assistance,1,recommendation_explore,exact_loss,0.0005492424242424242,0.0,0.0013068181818181811,100,400
e2_assistance,1,recommendation_explore,distribution_exact_loss,0.0016044101731601756,0.0007804897186147222,0.0025540861742424253,100,400
e2_assistance,1,recommendation_explore,optimal_agreement,0.9875,0.97,1.0,100,400
e2_assistance,1,recommendation_explore,posterior_mean_greedy,0.9875,0.9725,1.0,100,400
e2_assistance,1,recommendation_explore,prediction_entropy,0.08591914292359996,0.05453794903630535,0.119649200528568,100,400
e2_assistance,2,bayes_explore,exact_loss,0.0031618797868797873,0.001047077922077922,0.0056756649600399585,100,400
e2_assistance,2,bayes_explore,distribution_exact_loss,0.017580079865786392,0.015151385580904623,0.02005725262667586,100,400
e2_assistance,2,bayes_explore,optimal_agreement,0.955,0.92,0.985,100,400
e2_assistance,2,bayes_explore,posterior_mean_greedy,0.9675,0.9375,0.99,100,400
e2_assistance,2,bayes_explore,prediction_entropy,0.30007918217430335,0.2671133203663742,0.3337866652015929,100,400
e2_assistance,2,counts_explore,exact_loss,0.009892107892107893,0.0047282446719946695,0.015941680194805193,100,400
e2_assistance,2,counts_explore,distribution_exact_loss,0.021805774958736937,0.018219471121948726,0.025784015491528412,100,400
e2_assistance,2,counts_explore,optimal_agreement,0.88,0.8225,0.9325,100,400
e2_assistance,2,counts_explore,posterior_mean_greedy,0.915,0.8625,0.96,100,400
e2_assistance,2,counts_explore,prediction_entropy,0.32481619876488144,0.2885365053397435,0.3611117323108987,100,400
e2_assistance,2,dp_values_explore,exact_loss,0.0,0.0,0.0,100,400
e2_assistance,2,dp_values_explore,distribution_exact_loss,0.002808138908193274,0.0024104407865685276,0.0032255376188576055,100,400
e2_assistance,2,dp_values_explore,optimal_agreement,1.0,1.0,1.0,100,400
e2_assistance,2,dp_values_explore,posterior_mean_greedy,0.99,0.97,1.0,100,400
e2_assistance,2,dp_values_explore,prediction_entropy,0.08635057244749861,0.07587551699864674,0.09753980053246772,100,400
e2_assistance,2,means_explore,exact_loss,0.0002878787878787881,0.0,0.0007272727272727276,100,400
e2_assistance,2,means_explore,distribution_exact_loss,0.014028665148257544,0.012435433421198372,0.015674598913088728,100,400
e2_assistance,2,means_explore,optimal_agreement,0.9875,0.965,1.0,100,400
e2_assistance,2,means_explore,posterior_mean_greedy,0.9975,0.9925,1.0,100,400
e2_assistance,2,means_explore,prediction_entropy,0.2684019369214565,0.24065927288555866,0.2972649649960504,100,400
e2_assistance,2,recommendation_explore,exact_loss,0.0021158841158841167,0.0004784361471861464,0.004339042207792211,100,400
e2_assistance,2,recommendation_explore,distribution_exact_loss,0.0075359423728445585,0.005565950387701082,0.009715438226402237,100,400
e2_assistance,2,recommendation_explore,optimal_agreement,0.965,0.935,0.99,100,400
e2_assistance,2,recommendation_explore,posterior_mean_greedy,0.98,0.96,0.995,100,400
e2_assistance,2,recommendation_explore,prediction_entropy,0.19092946312480613,0.15331608398390803,0.2305490478927526,100,400
e2_assistance,10,bayes_explore,exact_loss,0.003661407887287158,0.001342879006450941,0.006506708380508908,100,400
e2_assistance,10,bayes_explore,distribution_exact_loss,0.01885778637157614,0.016254038804996047,0.021461812675930458,100,400
e2_assistance,10,bayes_explore,optimal_agreement,0.9225,0.87,0.9675,100,400
e2_assistance,10,bayes_explore,posterior_mean_greedy,0.9825,0.96,1.0,100,400
e2_assistance,10,bayes_explore,prediction_entropy,0.30304696393462655,0.26926174227644095,0.33755855141312097,100,400
e2_assistance,10,counts_explore,exact_loss,0.007782726046087997,0.004201440515224558,0.011779523298322934,100,400
e2_assistance,10,counts_explore,distribution_exact_loss,0.025554297939514106,0.02236760694274066,0.02893783617838959,100,400
e2_assistance,10,counts_explore,optimal_agreement,0.8775,0.82,0.93,100,400
e2_assistance,10,counts_explore,posterior_mean_greedy,0.94,0.895,0.975,100,400
e2_assistance,10,counts_explore,prediction_entropy,0.35786970834065135,0.32407034573701926,0.3931430361809778,100,400
e2_assistance,10,dp_values_explore,exact_loss,0.0,0.0,0.0,100,400
e2_assistance,10,dp_values_explore,distribution_exact_loss,0.003796366442394008,0.00312998186825955,0.004525265790953153,100,400
e2_assistance,10,dp_values_explore,optimal_agreement,1.0,1.0,1.0,100,400
e2_assistance,10,dp_values_explore,posterior_mean_greedy,0.94,0.89,0.98,100,400
e2_assistance,10,dp_values_explore,prediction_entropy,0.09505105137942538,0.08463230325758615,0.1057906562726146,100,400
e2_assistance,10,means_explore,exact_loss,0.0025572384785228853,0.0006806729884892704,0.004955754068721091,100,400
e2_assistance,10,means_explore,distribution_exact_loss,0.01539992477467561,0.013475534682292555,0.017445898109939406,100,400
e2_assistance,10,means_explore,optimal_agreement,0.935,0.885,0.98,100,400
e2_assistance,10,means_explore,posterior_mean_greedy,0.995,0.985,1.0,100,400
e2_assistance,10,means_explore,prediction_entropy,0.2666074050531704,0.2392379099753833,0.29515352411802315,100,400
e2_assistance,10,recommendation_explore,exact_loss,0.006735476509606495,0.0036596420124809753,0.010292653330216985,100,400
e2_assistance,10,recommendation_explore,distribution_exact_loss,0.010773291133785522,0.007855499670231678,0.014081607642207882,100,400
e2_assistance,10,recommendation_explore,optimal_agreement,0.8925,0.8375,0.94,100,400
e2_assistance,10,recommendation_explore,posterior_mean_greedy,0.97,0.945,0.99,100,400
e2_assistance,10,recommendation_explore,prediction_entropy,0.19822170067969527,0.15717604758628864,0.24115629132029756,100,400
