experiment,horizon,policy,state_regime,metric,mean,ci_low,ci_high,n_fixtures,analysis_role
e1_horizon,2,counts_neutral,greedy_can_be_optimal,non_greedy_choice,0.09595959595959595,0.045454545454545456,0.15151515151515152,99,post_hoc_secondary
e1_horizon,2,counts_neutral,greedy_can_be_optimal,non_greedy_probability,0.10373737373737375,0.0658080808080808,0.14697032828282824,99,post_hoc_secondary
e1_horizon,2,counts_neutral,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,99,post_hoc_secondary
e1_horizon,2,counts_neutral,greedy_can_be_optimal,loss_at_least_001,0.15404040404040403,0.09090909090909091,0.2222222222222222,99,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,optimal_agreement,0.0,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,exact_loss,0.008333333333333304,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,exact_loss_per_remaining_pull,0.004166666666666652,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,non_greedy_choice,0.0,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,non_greedy_probability,0.13,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,value_of_exploration,0.008333333333333304,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,exploration_required,loss_at_least_001,0.0,,,1,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,optimal_agreement,0.8383838383838383,0.7676767676767676,0.9015151515151515,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,exact_loss,0.014699324976004811,0.008313297283158936,0.022196782823017992,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.007349662488002406,0.004061835269839218,0.010972205632531715,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,non_greedy_choice,0.09595959595959595,0.045454545454545456,0.15404040404040403,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,non_greedy_probability,0.1523989898989899,0.11361111111111112,0.1942929292929293,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,99,post_hoc_secondary
e1_horizon,2,counts_regret,greedy_can_be_optimal,loss_at_least_001,0.16161616161616163,0.09595959595959595,0.23232323232323232,99,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,optimal_agreement,0.25,0.0,0.625,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,exact_loss,0.02754683872890412,0.012528624756885653,0.04390376984127009,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,exact_loss_per_remaining_pull,0.0055093677457808245,0.0027076441825083365,0.00878075396825402,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,non_greedy_choice,0.25,0.0,0.625,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,non_greedy_probability,0.3334375,0.195625,0.5165625,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,value_of_exploration,0.027738165259516334,0.012403908203597575,0.0439994331065762,8,post_hoc_secondary
e1_horizon,5,counts_explore,exploration_required,loss_at_least_001,0.625,0.25,0.875,8,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,optimal_agreement,0.8559782608695652,0.7853260869565217,0.9184782608695652,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,exact_loss,0.013547711608912008,0.00720711831718745,0.020862603648845412,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.002709542321782401,0.0014292815381425985,0.004163961862544101,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,non_greedy_choice,0.059782608695652176,0.021739130434782608,0.10869565217391304,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,non_greedy_probability,0.11782608695652172,0.08576019021739131,0.15290828804347825,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,5,counts_explore,greedy_can_be_optimal,loss_at_least_001,0.14402173913043478,0.08152173913043478,0.21195652173913043,92,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,optimal_agreement,0.25,0.0,0.5,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,exact_loss,0.02754683872890412,0.012528624756885653,0.04390376984127009,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,exact_loss_per_remaining_pull,0.0055093677457808245,0.0026259920634920777,0.00878075396825402,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,non_greedy_choice,0.25,0.0,0.625,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,non_greedy_probability,0.23937499999999998,0.075,0.4584453124999999,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,value_of_exploration,0.027738165259516334,0.013703939909297025,0.0439994331065762,8,post_hoc_secondary
e1_horizon,5,counts_neutral,exploration_required,loss_at_least_001,0.625,0.25,0.875,8,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,optimal_agreement,0.8179347826086957,0.7391304347826086,0.8940217391304348,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,exact_loss,0.01889577079085587,0.010826227467266017,0.028116870953295816,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.003779154158171174,0.0021330905789495097,0.005603312926440287,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,non_greedy_choice,0.08423913043478261,0.03260869565217391,0.14402173913043478,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,non_greedy_probability,0.08956521739130435,0.05162839673913043,0.1339415760869565,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,5,counts_neutral,greedy_can_be_optimal,loss_at_least_001,0.18206521739130435,0.10597826086956522,0.26358695652173914,92,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,optimal_agreement,0.125,0.0,0.3125,8,post_hoc_secondary
