target,k,fixture_id,representation,raw_excess_brier,repeat_variability,cross_repeat_error_product
best_arm,2,e7_probability_forecasts:2:0,bayes,0.2813,0.00010000000000000018,0.2812
best_arm,2,e7_probability_forecasts:2:0,counts,0.34450000000000003,0.00010000000000000005,0.34440000000000004
best_arm,2,e7_probability_forecasts:2:0,means,0.33640000000000003,0.00040000000000000045,0.3360000000000001
best_arm,2,e7_probability_forecasts:2:1,bayes,0.005012194115294776,0.0,0.005012194115294776
best_arm,2,e7_probability_forecasts:2:1,counts,0.005012194115294776,0.0,0.005012194115294776
best_arm,2,e7_probability_forecasts:2:1,means,0.005012194115294776,0.0,0.005012194115294776
best_arm,2,e7_probability_forecasts:2:10,bayes,0.24101480738520065,0.00010000000000000007,0.24091480738520066
best_arm,2,e7_probability_forecasts:2:10,counts,0.24101480738520065,0.00010000000000000007,0.24091480738520066
best_arm,2,e7_probability_forecasts:2:10,means,0.2550990375009889,0.0001000000000000001,0.25499903750098885
best_arm,2,e7_probability_forecasts:2:11,bayes,4.01901551663959e-12,0.0,4.01901551663959e-12
best_arm,2,e7_probability_forecasts:2:11,counts,4.01901551663959e-12,0.0,4.01901551663959e-12
best_arm,2,e7_probability_forecasts:2:11,means,4.01901551663959e-12,0.0,4.01901551663959e-12
best_arm,2,e7_probability_forecasts:2:12,bayes,0.06917959183673453,0.00040000000000000045,0.06877959183673453
best_arm,2,e7_probability_forecasts:2:12,counts,0.02393673469387765,9.999999999999907e-05,0.02383673469387765
best_arm,2,e7_probability_forecasts:2:12,means,0.10189387755102022,0.0,0.10189387755102022
best_arm,2,e7_probability_forecasts:2:13,bayes,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:13,counts,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:13,means,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:14,bayes,0.11196511537437764,0.0,0.11196511537437764
best_arm,2,e7_probability_forecasts:2:14,counts,0.11679724207121021,0.0001000000000000001,0.11669724207121021
best_arm,2,e7_probability_forecasts:2:14,means,0.11679724207121021,0.0001000000000000001,0.11669724207121021
best_arm,2,e7_probability_forecasts:2:15,bayes,0.002173650525298879,0.0,0.002173650525298879
best_arm,2,e7_probability_forecasts:2:15,counts,0.002173650525298879,0.0,0.002173650525298879
best_arm,2,e7_probability_forecasts:2:15,means,0.002173650525298879,0.0,0.002173650525298879
best_arm,2,e7_probability_forecasts:2:16,bayes,1.0237300628574118e-05,0.0,1.0237300628574118e-05
best_arm,2,e7_probability_forecasts:2:16,counts,1.0237300628574118e-05,0.0,1.0237300628574118e-05
best_arm,2,e7_probability_forecasts:2:16,means,1.0237300628574118e-05,0.0,1.0237300628574118e-05
best_arm,2,e7_probability_forecasts:2:17,bayes,4.43283019182142e-05,0.0,4.43283019182142e-05
best_arm,2,e7_probability_forecasts:2:17,counts,4.43283019182142e-05,0.0,4.43283019182142e-05
best_arm,2,e7_probability_forecasts:2:17,means,4.43283019182142e-05,0.0,4.43283019182142e-05
best_arm,2,e7_probability_forecasts:2:18,bayes,0.0036956655269138536,0.0,0.0036956655269138536
best_arm,2,e7_probability_forecasts:2:18,counts,0.0036956655269138536,0.0,0.0036956655269138536
best_arm,2,e7_probability_forecasts:2:18,means,0.0036956655269138536,0.0,0.0036956655269138536
best_arm,2,e7_probability_forecasts:2:19,bayes,0.015570934256055515,0.0,0.015570934256055515
best_arm,2,e7_probability_forecasts:2:19,counts,0.015570934256055515,0.0,0.015570934256055515
best_arm,2,e7_probability_forecasts:2:19,means,0.015570934256055515,0.0,0.015570934256055515
best_arm,2,e7_probability_forecasts:2:2,bayes,0.0015272903453062868,0.0,0.0015272903453062868
best_arm,2,e7_probability_forecasts:2:2,counts,0.0015272903453062868,0.0,0.0015272903453062868
best_arm,2,e7_probability_forecasts:2:2,means,0.0015272903453062868,0.0,0.0015272903453062868
best_arm,2,e7_probability_forecasts:2:20,bayes,0.31210000000000004,0.00010000000000000005,0.31200000000000006
best_arm,2,e7_probability_forecasts:2:20,counts,0.32810000000000006,0.00010000000000000018,0.32800000000000007
best_arm,2,e7_probability_forecasts:2:20,means,0.34450000000000003,0.00010000000000000005,0.34440000000000004
best_arm,2,e7_probability_forecasts:2:21,bayes,0.27916122448979586,0.00010000000000000005,0.27906122448979587
best_arm,2,e7_probability_forecasts:2:21,counts,0.10731836734693885,0.0004000000000000007,0.10691836734693885
best_arm,2,e7_probability_forecasts:2:21,means,0.3177183673469386,0.0,0.3177183673469386
best_arm,2,e7_probability_forecasts:2:22,bayes,0.03940000000000026,0.00039999999999999964,0.039000000000000264
best_arm,2,e7_probability_forecasts:2:22,counts,0.038899999999999754,0.004899999999999996,0.03399999999999976
best_arm,2,e7_probability_forecasts:2:22,means,0.00530000000000009,0.0025000000000000014,0.002800000000000089
best_arm,2,e7_probability_forecasts:2:23,bayes,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:23,counts,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:23,means,0.0045351473922902175,0.0,0.0045351473922902175
best_arm,2,e7_probability_forecasts:2:24,bayes,0.14973206439649994,0.0,0.14973206439649994
best_arm,2,e7_probability_forecasts:2:24,counts,0.05076843814510955,0.0008999999999999975,0.04986843814510955
best_arm,2,e7_probability_forecasts:2:24,means,0.14435973282035258,9.9999999999999e-05,0.14425973282035257
best_arm,2,e7_probability_forecasts:2:25,bayes,0.0010265909914261716,0.00039999999999999964,0.0006265909914261721
best_arm,2,e7_probability_forecasts:2:25,counts,0.0892771404419758,0.0016000000000000007,0.0876771404419758
best_arm,2,e7_probability_forecasts:2:25,means,0.006172744837580049,0.00010000000000000018,0.006072744837580048
best_arm,2,e7_probability_forecasts:2:26,bayes,0.020374699115957677,0.0,0.020374699115957677
best_arm,2,e7_probability_forecasts:2:26,counts,0.01653740307866166,0.0,0.01653740307866166
best_arm,2,e7_probability_forecasts:2:26,means,0.01845605109730967,0.0001000000000000001,0.018356051097309665
best_arm,2,e7_probability_forecasts:2:27,bayes,0.28079574537785834,0.0016000000000000018,0.2791957453778583
best_arm,2,e7_probability_forecasts:2:27,counts,0.18887266845478226,0.0036000000000000034,0.18527266845478224
best_arm,2,e7_probability_forecasts:2:27,means,0.3945613562375867,0.0,0.3945613562375867
best_arm,2,e7_probability_forecasts:2:28,bayes,0.10824930795847759,0.0,0.10824930795847759
best_arm,2,e7_probability_forecasts:2:28,counts,0.07817871972318347,9.9999999999999e-05,0.07807871972318348
best_arm,2,e7_probability_forecasts:2:28,means,0.103696366782007,0.0001000000000000001,0.10359636678200701
best_arm,2,e7_probability_forecasts:2:29,bayes,0.10405487528344705,0.0,0.10405487528344705
best_arm,2,e7_probability_forecasts:2:29,counts,0.07848344671201843,0.0,0.07848344671201843
best_arm,2,e7_probability_forecasts:2:29,means,0.10405487528344705,0.0,0.10405487528344705
best_arm,2,e7_probability_forecasts:2:3,bayes,0.2445118343195264,0.00010000000000000011,0.2444118343195264
best_arm,2,e7_probability_forecasts:2:3,counts,0.21734260355029572,0.00010000000000000005,0.21724260355029573
best_arm,2,e7_probability_forecasts:2:3,means,0.28067337278106486,0.0,0.28067337278106486
best_arm,2,e7_probability_forecasts:2:30,bayes,0.007866116049652816,0.0,0.007866116049652816
best_arm,2,e7_probability_forecasts:2:30,counts,0.005557552149784554,0.0,0.005557552149784554
best_arm,2,e7_probability_forecasts:2:30,means,0.007866116049652816,0.0,0.007866116049652816
best_arm,2,e7_probability_forecasts:2:31,bayes,0.0026948741711529927,0.0,0.0026948741711529927
best_arm,2,e7_probability_forecasts:2:31,counts,0.0026948741711529927,0.0,0.0026948741711529927
best_arm,2,e7_probability_forecasts:2:31,means,0.0026948741711529927,0.0,0.0026948741711529927
best_arm,2,e7_probability_forecasts:2:32,bayes,3.6500950902579545e-09,0.0,3.6500950902579545e-09
best_arm,2,e7_probability_forecasts:2:32,counts,3.6500950902579545e-09,0.0,3.6500950902579545e-09
best_arm,2,e7_probability_forecasts:2:32,means,3.6500950902579545e-09,0.0,3.6500950902579545e-09
best_arm,2,e7_probability_forecasts:2:33,bayes,0.09441487603305804,0.0,0.09441487603305804
best_arm,2,e7_probability_forecasts:2:33,counts,0.0988603305785126,0.0001000000000000001,0.09876033057851258
best_arm,2,e7_probability_forecasts:2:33,means,0.10330578512396714,0.0,0.10330578512396714
best_arm,2,e7_probability_forecasts:2:34,bayes,2.7218394635472097e-05,0.0,2.7218394635472097e-05
best_arm,2,e7_probability_forecasts:2:34,counts,2.7218394635472097e-05,0.0,2.7218394635472097e-05
best_arm,2,e7_probability_forecasts:2:34,means,2.7218394635472097e-05,0.0,2.7218394635472097e-05
best_arm,2,e7_probability_forecasts:2:35,bayes,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:35,counts,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:35,means,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:36,bayes,0.042500000000000274,0.0009,0.041600000000000276
