target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
best_arm,2,bayes,raw_excess_brier,0.07456073122663816,0.05702778705840905,0.09356875101635723,100
best_arm,2,bayes,repeat_variability,0.00016399999999999997,7.499999999999994e-05,0.000287,100
best_arm,2,bayes,cross_repeat_error_product,0.07439673122663815,0.0568598667039589,0.09335558045041098,100
best_arm,2,counts,raw_excess_brier,0.07091543717448427,0.0533484785508569,0.0898010382326778,100
best_arm,2,counts,repeat_variability,0.0005180000000000001,0.00023900000000000004,0.0008610000000000002,100
best_arm,2,counts,cross_repeat_error_product,0.07039743717448427,0.052861420741565995,0.08931422671824686,100
best_arm,2,means,raw_excess_brier,0.08702075084907503,0.06671996945820463,0.10914904239872406,100
best_arm,2,means,repeat_variability,9.300000000000007e-05,3.100000000000002e-05,0.00017400000000000008,100
best_arm,2,means,cross_repeat_error_product,0.08692775084907504,0.06662311936019254,0.10906226652075526,100
best_arm,3,bayes,raw_excess_brier,0.11948541971346863,0.09432028747095567,0.1463457412340433,100
best_arm,3,bayes,repeat_variability,0.0005329999999999999,0.00026499999999999983,0.0008779999999999992,100
best_arm,3,bayes,cross_repeat_error_product,0.11895241971346861,0.09374839849595765,0.1458113637559348,100
best_arm,3,counts,raw_excess_brier,0.14221421703134127,0.11312356535893076,0.1737360267578798,100
best_arm,3,counts,repeat_variability,0.0012380000000000002,0.0006970000000000002,0.0018990499999999998,100
best_arm,3,counts,cross_repeat_error_product,0.14097621703134125,0.11195142514245351,0.17249290614550078,100
best_arm,3,means,raw_excess_brier,0.13058515926078598,0.10468208723141934,0.15770041058832998,100
best_arm,3,means,repeat_variability,0.000575,0.00025597499999999987,0.0009749999999999998,100
best_arm,3,means,cross_repeat_error_product,0.13001015926078596,0.10407473366145367,0.15722324139102506,100
best_arm,5,bayes,raw_excess_brier,0.22582580863722032,0.19436467383560876,0.25805641687698727,100
best_arm,5,bayes,repeat_variability,0.0005369960208142028,0.0002496859759208244,0.0009520205999387822,100
best_arm,5,bayes,cross_repeat_error_product,0.2252888126164061,0.19387008930667854,0.2574940871684071,100
best_arm,5,counts,raw_excess_brier,0.2071431060780065,0.1730450708368972,0.2418302779787319,100
best_arm,5,counts,repeat_variability,0.001564897459442914,0.0007808974594429143,0.002535900022956842,100
best_arm,5,counts,cross_repeat_error_product,0.2055782086185636,0.1713298238289431,0.2402610894500793,100
best_arm,5,means,raw_excess_brier,0.23293523273798353,0.2014057725580425,0.2654892429207011,100
best_arm,5,means,repeat_variability,0.00044000000000000007,0.00016500000000000008,0.0008520249999999997,100
