family,policy,metric,mean,ci_low,ci_high,n_episodes,expected_episodes,analysis_role
clear,ucb1,optimal_agreement,0.8322499999999999,0.818,0.8460000000000001,40,40,post_hoc_two_arm_normative_audit
clear,ucb1,pseudo_regret,7.290000000000001,6.7,7.88,40,40,post_hoc_two_arm_normative_audit
clear,ucb1,reward,62.725,61.075,64.3,40,40,post_hoc_two_arm_normative_audit
close,bayes_direct,exact_loss,2.062380671560722,1.5815477871605284,2.586692277018607,40,40,post_hoc_two_arm_normative_audit
close,bayes_direct,optimal_agreement,0.367,0.29474999999999996,0.44575,40,40,post_hoc_two_arm_normative_audit
close,bayes_direct,pseudo_regret,2.460000000000002,1.7337500000000017,3.1912812500000025,40,40,post_hoc_two_arm_normative_audit
close,bayes_direct,reward,54.225,52.825,55.65,40,40,post_hoc_two_arm_normative_audit
close,bayes_sample,exact_loss,1.4660961885813066,1.26542364470104,1.6805455870428887,40,40,post_hoc_two_arm_normative_audit
close,bayes_sample,optimal_agreement,0.7302500000000001,0.67275,0.783,40,40,post_hoc_two_arm_normative_audit
close,bayes_sample,pseudo_regret,2.231250000000002,1.7411562500000015,2.7375000000000025,40,40,post_hoc_two_arm_normative_audit
close,bayes_sample,reward,53.25,51.875,54.6,40,40,post_hoc_two_arm_normative_audit
close,bayes_ucb,exact_loss,0.41537396067592774,0.2698574814225446,0.5861430568175052,40,40,post_hoc_two_arm_normative_audit
close,bayes_ucb,optimal_agreement,0.9332499999999999,0.9184999999999999,0.9465,40,40,post_hoc_two_arm_normative_audit
close,bayes_ucb,pseudo_regret,2.188750000000002,1.7400000000000015,2.6550000000000025,40,40,post_hoc_two_arm_normative_audit
close,bayes_ucb,reward,53.975,52.65,55.3,40,40,post_hoc_two_arm_normative_audit
close,counts_direct,exact_loss,4.121424241829016,3.107911730022077,5.158251597119113,40,40,post_hoc_two_arm_normative_audit
close,counts_direct,optimal_agreement,0.30625,0.22075000000000006,0.40225,40,40,post_hoc_two_arm_normative_audit
