family,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
close,greedy,exact_h100,exact_loss,2.2876572964552038,1.702949048734573,2.925121436679257,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ids,exact_h100,pseudo_regret,0.08500000000000012,-0.02124999999999988,0.21250000000000022,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ids,exact_h100,exact_loss,0.27330815428744826,0.20408156084111068,0.34945563363512167,40,40,40,episode,post_hoc_two_arm_normative_audit
close,knowledge_gradient,exact_h100,pseudo_regret,0.03625000000000006,-0.2500000000000002,0.32250000000000023,40,40,40,episode,post_hoc_two_arm_normative_audit
close,knowledge_gradient,exact_h100,exact_loss,0.326427705425684,0.2169994497335689,0.4511582215247762,40,40,40,episode,post_hoc_two_arm_normative_audit
close,random,exact_h100,pseudo_regret,0.34500000000000036,-0.27250000000000013,0.9375937499999996,40,40,40,episode,post_hoc_two_arm_normative_audit
close,random,exact_h100,exact_loss,5.385986556280853,4.4273673878894,6.417481939246605,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ts,exact_h100,pseudo_regret,0.016250000000000063,-0.2862500000000002,0.3150000000000003,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ts,exact_h100,exact_loss,1.4492080192088477,1.2852990338852515,1.6201162264971185,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ucb1,exact_h100,pseudo_regret,0.0050000000000000825,-0.5125000000000004,0.5225312500000001,40,40,40,episode,post_hoc_two_arm_normative_audit
close,ucb1,exact_h100,exact_loss,2.9450013686268313,2.4548294080609225,3.4525181200701676,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_direct,exact_h100,pseudo_regret,0.7754819308876153,-0.20821720315836875,2.005033436828448,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_direct,exact_h100,exact_loss,0.8623414863446545,0.5030634402264106,1.2614805772764608,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_sample,exact_h100,pseudo_regret,1.8112429901505311,1.2743858465708833,2.3678632763215974,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_sample,exact_h100,exact_loss,1.6904895888158713,1.4082369255749316,1.9815795661965148,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_ucb,exact_h100,pseudo_regret,0.10892072443284442,-0.4576364988016623,0.6267992916154501,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,bayes_ucb,exact_h100,exact_loss,0.3053897377534825,0.19688870260259883,0.4271180562268896,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,counts_direct,exact_h100,pseudo_regret,1.2290472005507858,-0.08275912563310481,2.9666399633331673,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,counts_direct,exact_h100,exact_loss,1.178025541608865,0.712025366266463,1.7027787776604957,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,counts_sample,exact_h100,pseudo_regret,2.2018234860058845,1.5867761711662112,2.845727194488468,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,counts_sample,exact_h100,exact_loss,1.9562271377472507,1.631252414309795,2.29716222298417,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,finite_ap_index,exact_h100,pseudo_regret,0.06660498388780431,-0.013269547587863063,0.15797946413665565,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,finite_ap_index,exact_h100,exact_loss,0.003946275104561271,0.0019139886025287898,0.006327673355666932,40,40,40,episode,post_hoc_two_arm_normative_audit
