experiment,family,k,horizon,policy,phase,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_direct,middle,unequal_sd_greedy_tie_available,0.035416666666666666,0.025416666666666664,0.04625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,posterior_mean_deficit,7.676524864024861e-05,2.136752136752134e-05,0.00014511703574203566,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,chosen_posterior_sd,0.13895082151034155,0.13553655273971457,0.1423548256614059,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,bayes_ucb_agreement,0.7875,0.7475,0.8258333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,knowledge_gradient_agreement,0.8341666666666666,0.8025,0.865,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,bayes_ucb_top_set_size,1.0283333333333333,1.0166666666666666,1.0420833333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,knowledge_gradient_top_set_size,1.02875,1.0170833333333333,1.0425,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_loss,0.004761595902142324,0.003410209636878861,0.006254882564283809,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,strict_exploration_required,0.11541666666666668,0.08957291666666667,0.1433333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,useful_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,inferior_non_greedy,0.0024999999999999996,0.0008333333333333333,0.004583333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_optimal_agreement,0.87,0.8391562499999999,0.8991666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,posterior_mean_greedy,0.91375,0.895,0.93125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,strict_non_greedy,0.08625,0.0675,0.105,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,unseen_arm,0.44875,0.435,0.4625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,lower_mean_higher_sd,0.0625,0.04625,0.08,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,equal_mean_higher_sd,0.02625,0.01625,0.0375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,unequal_sd_greedy_tie_available,0.0375,0.025,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,posterior_mean_deficit,0.016312499999999997,0.0126875,0.020145833333333328,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,chosen_posterior_sd,0.25087880616799046,0.24880489076141762,0.2528787457725587,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,bayes_ucb_agreement,0.9025,0.8825,0.9225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,knowledge_gradient_agreement,0.86625,0.845,0.88625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,bayes_ucb_top_set_size,1.32125,1.30625,1.33625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,knowledge_gradient_top_set_size,1.32125,1.30625,1.3375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_loss,0.013733119478987716,0.010594714112117105,0.017057838565393425,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,strict_exploration_required,0.02,0.01125,0.03,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,useful_non_greedy,0.0075,0.0025,0.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,inferior_non_greedy,0.07875,0.06125,0.0975,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_optimal_agreement,0.8975,0.87625,0.9175,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,posterior_mean_greedy,0.91875,0.89875,0.9375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,strict_non_greedy,0.08125,0.0625,0.10125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,unseen_arm,0.005,0.00125,0.01,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,lower_mean_higher_sd,0.06,0.045,0.07625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,equal_mean_higher_sd,0.0025,0.0,0.00625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,unequal_sd_greedy_tie_available,0.0075,0.0025,0.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,posterior_mean_deficit,0.015853316236781795,0.011573229576822601,0.020545192464215774,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,chosen_posterior_sd,0.10995085130758081,0.10638208253547,0.11345097486839888,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,bayes_ucb_agreement,0.81125,0.76875,0.85125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,knowledge_gradient_agreement,0.90875,0.8875,0.9287812499999996,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,bayes_ucb_top_set_size,1.00375,1.0,1.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,knowledge_gradient_top_set_size,1.00375,1.0,1.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_loss,0.01573419048839864,0.011423760850095681,0.02036669669059067,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,strict_exploration_required,0.0125,0.005,0.0225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,useful_non_greedy,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,inferior_non_greedy,0.0775,0.06,0.09625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_optimal_agreement,0.90875,0.8875,0.92875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,posterior_mean_greedy,0.8875,0.87375,0.9008333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,strict_non_greedy,0.1125,0.09875,0.12625,200,2400,post_hoc_behavioral
