target,k,metric,mean,ci_low,ci_high,n_fixtures
best_arm,2,excess_brier,0.06720252199371812,0.05581368414299005,0.07923004643417039,100
best_arm,2,excess_log_loss,0.11175348692809005,0.0921869799142677,0.1324781148977023,100
best_arm,2,max_absolute_error,0.15832883579656068,0.14035689372465618,0.17615783384393033,100
best_arm,3,excess_brier,0.11397977068310143,0.09423096871364962,0.1339670097527858,100
best_arm,3,excess_log_loss,0.20513362404035768,0.17306155064778814,0.23851179024609714,100
best_arm,3,max_absolute_error,0.23880653696359438,0.21474606019597403,0.2635124446451645,100
best_arm,5,excess_brier,0.13373868922093796,0.11110742271424298,0.1583381925597693,100
best_arm,5,excess_log_loss,0.30850112109012984,0.2679075175474761,0.3518315095389736,100
best_arm,5,max_absolute_error,0.27236038866932577,0.2445046286649685,0.3016420325892726,100
best_arm,10,excess_brier,0.14906261862784712,0.12791428966185583,0.17164992661120373,100
best_arm,10,excess_log_loss,0.5130163060215222,0.4704531620638374,0.5581549266534913,100
best_arm,10,max_absolute_error,0.2959840155324452,0.2675270117172683,0.3248354252994329,100
best_arm,15,excess_brier,0.13634447420584667,0.11858544410817996,0.15574080842929966,100
best_arm,15,excess_log_loss,0.6200707480574961,0.5786410180395893,0.6644169686368882,100
best_arm,15,max_absolute_error,0.2809802610960415,0.2552601626047956,0.30872100761871096,100
next_reward,2,excess_brier,0.019111555724218063,0.013985716827364556,0.02457731953111823,100
next_reward,2,excess_log_loss,0.4715087689681092,0.3379290622945884,0.6153602365087488,100
next_reward,2,max_absolute_error,0.06298160173160175,0.05239237012987014,0.0744582251082251,100
next_reward,3,excess_brier,0.019780529787672644,0.015553518299881938,0.024279318174009728,100
next_reward,3,excess_log_loss,0.4915112519787212,0.38828293238616507,0.5994067212955168,100
next_reward,3,max_absolute_error,0.06293290043290045,0.05412938311688312,0.07197204184704185,100
next_reward,5,excess_brier,0.02250882798298383,0.019545143808211988,0.02557281158992522,100
next_reward,5,excess_log_loss,0.56762312578831,0.4938851041189386,0.6440519531823109,100
next_reward,5,max_absolute_error,0.06641341991341991,0.060449610389610386,0.07238979437229437,100
next_reward,10,excess_brier,0.020555663874365172,0.01812822811838234,0.02312128250969809,100
next_reward,10,excess_log_loss,0.4966714170107728,0.4386898640034501,0.5571591518665093,100
next_reward,10,max_absolute_error,0.06133809523809524,0.05649352813852815,0.06648134740259742,100
next_reward,15,excess_brier,0.022688503776166113,0.02068739512783994,0.024742634567693014,100
next_reward,15,excess_log_loss,0.5465995673036014,0.4969158919481277,0.5981190447826963,100
next_reward,15,max_absolute_error,0.06547748917748919,0.06141604256854257,0.06954530663780666,100
