target,representation,bin,prediction,reference,n
best_arm,bayes,0,0.0035067298992011438,0.059958961286791075,5738
best_arm,bayes,1,0.1386406437253895,0.31449818595679063,118
best_arm,bayes,2,0.23045454545454547,0.2643968145461269,58
best_arm,bayes,3,0.3516930499020052,0.34896847820144894,67
best_arm,bayes,4,0.43186026936026933,0.3128091415690148,24
best_arm,bayes,5,0.5511172329354147,0.34434319861437285,33
best_arm,bayes,6,0.6418781565656566,0.441917887013804,64
best_arm,bayes,7,0.7489830508474576,0.3958198038665432,59
best_arm,bayes,8,0.851018981018981,0.39761567652976565,91
best_arm,bayes,9,0.9830542051531357,0.6329397141673399,748
best_arm,counts,0,0.006384007839150072,0.05507529068167566,5484
best_arm,counts,1,0.14248202748202748,0.24179191118029622,222
best_arm,counts,2,0.24321197045077642,0.33258258892677,134
best_arm,counts,3,0.34427769761103094,0.3196526003002722,126
best_arm,counts,4,0.4452380952380952,0.3843810506740105,84
best_arm,counts,5,0.54677398989899,0.3510110416424143,96
best_arm,counts,6,0.6450298685782557,0.32134121102426827,93
best_arm,counts,7,0.7545454545454545,0.3606349754040315,77
best_arm,counts,8,0.8500234741784037,0.4023335969679512,142
best_arm,counts,9,0.9754765365835476,0.6986659452223954,542
best_arm,means,0,0.003417963891429032,0.0609649275244582,5766
best_arm,means,1,0.13931042710570268,0.2817971118587424,127
best_arm,means,2,0.23664189060415475,0.29336606254402564,53
best_arm,means,3,0.3544083694083694,0.3323011458860749,28
best_arm,means,4,0.44181818181818183,0.3617905949726911,33
best_arm,means,5,0.5465350474441384,0.3585743063158258,33
best_arm,means,6,0.6466774891774891,0.3968144946106843,28
best_arm,means,7,0.7453099965168931,0.365927068591765,58
best_arm,means,8,0.8515241301907968,0.4387789001009175,90
best_arm,means,9,0.9815642393320965,0.6278551565168943,784
next_reward,bayes,0,0.09333333333333331,0.045454545454545435,111
next_reward,bayes,1,0.16512081784386615,0.12569803183186085,1076
next_reward,bayes,2,0.2662626262626263,0.23329106359409388,1485
next_reward,bayes,3,0.3281374900079936,0.2973275059605995,1251
next_reward,bayes,4,0.4576527958387516,0.47649024144472785,3076
next_reward,bayes,5,0.5393440382644346,0.5201138970356599,2927
next_reward,bayes,6,0.6520952380952382,0.6745382395382395,1050
next_reward,bayes,7,0.7260653016048699,0.7598648354044037,1807
next_reward,bayes,8,0.8337533998186764,0.8731578183074102,1103
next_reward,bayes,9,0.9064912280701755,0.9545454545454546,114
next_reward,counts,0,0.09454545454545453,0.045454545454545435,11
next_reward,counts,1,0.15903966597077246,0.1166165080570091,958
next_reward,counts,2,0.24780695528743793,0.22173934416659752,1409
next_reward,counts,3,0.3436490781945327,0.28411189361602585,1573
next_reward,counts,4,0.4638002726653033,0.4757386160760394,2934
next_reward,counts,5,0.5304006622516556,0.5191450933172788,3020
next_reward,counts,6,0.6482492211838007,0.7049695890817387,1605
next_reward,counts,7,0.7439657631954351,0.7668744712253984,1402
next_reward,counts,8,0.8346131805157594,0.8777810855174752,1047
next_reward,counts,9,0.9014634146341464,0.9545454545454546,41
next_reward,means,0,0.09437499999999999,0.045454545454545435,80
next_reward,means,1,0.15949304174950296,0.12219970221958294,1006
next_reward,means,2,0.2639255189255189,0.23068531997103425,1638
next_reward,means,3,0.33206081081081085,0.29535765473265474,1184
next_reward,means,4,0.453091849935317,0.4756595011284533,3092
next_reward,means,5,0.5432757429163787,0.5202377960670981,2894
next_reward,means,6,0.6490652557319224,0.6735113798605863,1134
next_reward,means,7,0.7299567333693889,0.7650894715524245,1849
next_reward,means,8,0.8380000000000001,0.875706894731285,1025
next_reward,means,9,0.9045918367346939,0.9545454545454546,98
