target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
best_arm,2,bayes,excess_brier,0.07456073122663819,0.056370921010706766,0.09314806585532423,100
best_arm,2,bayes,excess_log_loss,0.4858243675698119,0.3896672909342924,0.5930772647097924,100
best_arm,2,bayes,max_absolute_error,0.14506790683270027,0.1202193066625083,0.17051281861259104,100
best_arm,2,counts,excess_brier,0.07091543717448427,0.05304535953013832,0.09011335093856136,100
best_arm,2,counts,excess_log_loss,0.47886069024538125,0.3548763871021083,0.6156209066006241,100
best_arm,2,counts,max_absolute_error,0.13926422441111502,0.11447530998310898,0.1644100415837237,100
best_arm,2,means,excess_brier,0.08702075084907507,0.06600970486106592,0.10931957397013313,100
best_arm,2,means,excess_log_loss,0.6191149023604976,0.4840676443931674,0.7664729159818937,100
best_arm,2,means,max_absolute_error,0.1568640606788541,0.13013638118891496,0.18406771641748573,100
best_arm,3,bayes,excess_brier,0.11948541971346867,0.0939975435546907,0.14603627176926945,100
best_arm,3,bayes,excess_log_loss,1.0699100850293102,0.8185377914608704,1.3682987817694574,100
best_arm,3,bayes,max_absolute_error,0.21491037526359652,0.1850909057956125,0.24622280878203245,100
best_arm,3,counts,excess_brier,0.1422142170313413,0.11246474334613794,0.1737713615681828,100
best_arm,3,counts,excess_log_loss,0.9336673410996695,0.7088581703711726,1.1911859525620914,100
best_arm,3,counts,max_absolute_error,0.23602825964241006,0.20414148474089894,0.26978015951265405,100
best_arm,3,means,excess_brier,0.130585159260786,0.10539798640440727,0.15808003144332977,100
best_arm,3,means,excess_log_loss,1.2284868338765678,0.9682450376657268,1.520093429537951,100
best_arm,3,means,max_absolute_error,0.23103526111201206,0.20104448172270686,0.26110177163222037,100
best_arm,5,bayes,excess_brier,0.2258258086372204,0.19448899150174964,0.25887368643107844,100
best_arm,5,bayes,excess_log_loss,2.1188014782214877,1.805300736532791,2.4461525094560304,100
best_arm,5,bayes,max_absolute_error,0.3526335367775287,0.31915125209481043,0.3870599086107684,100
best_arm,5,counts,excess_brier,0.2071431060780066,0.17278861533515083,0.24414395488256405,100
best_arm,5,counts,excess_log_loss,1.4442902712288523,1.15344153827767,1.7584200074871912,100
best_arm,5,counts,max_absolute_error,0.33140717272192755,0.29593187236483953,0.36665224714686573,100
best_arm,5,means,excess_brier,0.23293523273798356,0.20107783741520646,0.26629921882804114,100
best_arm,5,means,excess_log_loss,2.307312483985695,1.9636614774457,2.674801041320834,100
best_arm,5,means,max_absolute_error,0.36159725703529255,0.3290366553438585,0.394507997762354,100
best_arm,10,bayes,excess_brier,0.33187834552994727,0.29350691538130236,0.37086165386083975,100
best_arm,10,bayes,excess_log_loss,3.7129915255413057,3.319726588709929,4.124164937985156,100
best_arm,10,bayes,max_absolute_error,0.47716215615663565,0.44410195557281495,0.5091445631096712,100
best_arm,10,counts,excess_brier,0.27034014626362807,0.23293136026836858,0.3113313724653646,100
best_arm,10,counts,excess_log_loss,2.4428766615003936,2.097421334381106,2.816672936164436,100
best_arm,10,counts,max_absolute_error,0.4175419915455629,0.38210454227956875,0.45366794547320594,100
best_arm,10,means,excess_brier,0.3337610985609576,0.2944715813215974,0.3747826718024878,100
best_arm,10,means,excess_log_loss,3.699988535586071,3.292996008466194,4.120320719453629,100
best_arm,10,means,max_absolute_error,0.48097049843990114,0.4481573264384516,0.5151957668762087,100
best_arm,15,bayes,excess_brier,0.40297650341025976,0.35935165660032187,0.4492523195040869,100
best_arm,15,bayes,excess_log_loss,4.66517159767616,4.269733076598282,5.080955354339252,100
