left,right,n_pairs,expected_pairs,missing_pairs,missing_cells,analysis_role,status,ci95_low,ci95_high,ci975_low,ci975_high,mean_difference
means_direct,counts_direct,320,320,0,,prespecified_primary,complete,-3.9252957042719676,-1.7477874819231114,-4.135766160688669,-1.6175130340220714,-2.783929549578498
bayes_direct,means_direct,320,320,0,,prespecified_primary,complete,0.3752464203870644,1.3561018681891692,0.32089814258144606,1.4337031641425648,0.8331728742704779
