experiment,family,k,horizon,policy,metric,mean,ci_low,ci_high,n,n_metric_missing
e8_evidence_online,close,3,100,knowledge_gradient,unseen_fraction,0.030000000000000006,0.030000000000000006,0.030000000000000006,80,0
e8_evidence_online,close,3,100,knowledge_gradient,switches,9.9375,8.575,11.3875,80,0
e8_evidence_online,close,3,100,knowledge_gradient,arms_visited,3.0,3.0,3.0,80,0
e8_evidence_online,close,3,100,knowledge_gradient,best_arm_fraction,0.42699999999999994,0.342246875,0.5115000000000001,80,0
e8_evidence_online,close,3,100,knowledge_gradient,suffix_failure,0.5,0.3875,0.6125,80,0
e8_evidence_online,close,3,100,means_direct,pseudo_regret,3.572500000000003,3.105000000000003,4.010015625000003,80,0
e8_evidence_online,close,3,100,means_direct,reward,51.2125,49.925,52.525,80,0
e8_evidence_online,close,3,100,means_direct,posterior_mean_greedy,0.9462499999999998,0.922,0.966625,80,0
e8_evidence_online,close,3,100,means_direct,unseen_fraction,0.026000000000000002,0.02425,0.027503124999999958,80,0
e8_evidence_online,close,3,100,means_direct,switches,2.675,2.2875,3.0875,80,0
e8_evidence_online,close,3,100,means_direct,arms_visited,2.6,2.4371875000000003,2.75,80,0
e8_evidence_online,close,3,100,means_direct,best_arm_fraction,0.2855,0.198875,0.37725,80,0
e8_evidence_online,close,3,100,means_direct,suffix_failure,0.6875,0.5875,0.7875,80,0
e8_evidence_online,close,3,100,means_direct,choice_mismatch_fraction,0.00025,0.0,0.000625,80,0
e8_evidence_online,close,3,100,random,pseudo_regret,3.3475000000000024,3.300625000000003,3.395000000000003,80,0
e8_evidence_online,close,3,100,random,reward,51.0,50.0,52.0,80,0
e8_evidence_online,close,3,100,random,posterior_mean_greedy,0.361875,0.35075,0.37299999999999994,80,0
e8_evidence_online,close,3,100,random,unseen_fraction,0.030000000000000006,0.030000000000000006,0.030000000000000006,80,0
e8_evidence_online,close,3,100,random,switches,65.8375,64.9,66.775,80,0
e8_evidence_online,close,3,100,random,arms_visited,3.0,3.0,3.0,80,0
e8_evidence_online,close,3,100,random,best_arm_fraction,0.3305,0.321,0.33975,80,0
e8_evidence_online,close,3,100,random,suffix_failure,0.0,0.0,0.0,80,0
e8_evidence_online,close,3,100,ts,pseudo_regret,2.9981250000000026,2.7537343750000023,3.240015625000003,80,0
e8_evidence_online,close,3,100,ts,reward,51.5125,50.4,52.625,80,0
e8_evidence_online,close,3,100,ts,posterior_mean_greedy,0.673,0.6523749999999999,0.69475,80,0
e8_evidence_online,close,3,100,ts,unseen_fraction,0.030000000000000006,0.030000000000000006,0.030000000000000006,80,0
e8_evidence_online,close,3,100,ts,switches,47.25,44.65,49.6625,80,0
e8_evidence_online,close,3,100,ts,arms_visited,3.0,3.0,3.0,80,0
e8_evidence_online,close,3,100,ts,best_arm_fraction,0.40037500000000004,0.352,0.449375,80,0
e8_evidence_online,close,3,100,ts,suffix_failure,0.0875,0.025,0.15,80,0
e8_evidence_online,close,3,100,ucb1,pseudo_regret,3.138125000000003,3.0312500000000027,3.2443750000000025,80,0
e8_evidence_online,close,3,100,ucb1,reward,51.375,50.3375,52.4,80,0
e8_evidence_online,close,3,100,ucb1,posterior_mean_greedy,0.514,0.49824999999999997,0.530125,80,0
e8_evidence_online,close,3,100,ucb1,unseen_fraction,0.030000000000000006,0.030000000000000006,0.030000000000000006,80,0
e8_evidence_online,close,3,100,ucb1,switches,47.7875,46.6875,48.925,80,0
e8_evidence_online,close,3,100,ucb1,arms_visited,3.0,3.0,3.0,80,0
e8_evidence_online,close,3,100,ucb1,best_arm_fraction,0.372375,0.351375,0.39449999999999996,80,0
e8_evidence_online,close,3,100,ucb1,suffix_failure,0.0,0.0,0.0,80,0
e8_evidence_online,close,10,100,bayes_direct,pseudo_regret,4.317500000000004,3.951234375000003,4.653125000000005,80,0
e8_evidence_online,close,10,100,bayes_direct,reward,51.075,49.9625,52.2125,80,0
e8_evidence_online,close,10,100,bayes_direct,posterior_mean_greedy,0.77375,0.708746875,0.83475,80,0
e8_evidence_online,close,10,100,bayes_direct,unseen_fraction,0.030375000000000003,0.026000000000000002,0.035250000000000004,80,0
e8_evidence_online,close,10,100,bayes_direct,switches,2.275,1.7,2.9375,80,0
e8_evidence_online,close,10,100,bayes_direct,arms_visited,3.0375,2.6,3.5,80,0
e8_evidence_online,close,10,100,bayes_direct,best_arm_fraction,0.13649999999999998,0.0685,0.211878125,80,0
e8_evidence_online,close,10,100,bayes_direct,suffix_failure,0.8375,0.75,0.9125,80,0
