experiment,family,k,horizon,policy,turn,n_episodes,mean_cumulative_pseudo_regret,mean_cumulative_reward,non_greedy_fraction
e3_exact_online,prior,2,20,counts_direct,4,200,0.3754300975909414,2.27,0.055
e3_exact_online,prior,2,20,counts_direct,5,200,0.43126892783953674,2.865,0.0
e3_exact_online,prior,2,20,counts_direct,6,200,0.4871864788341626,3.42,0.055
e3_exact_online,prior,2,20,counts_direct,7,200,0.5436021318560748,4.06,0.025
e3_exact_online,prior,2,20,counts_direct,8,200,0.5903879122066757,4.61,0.04
e3_exact_online,prior,2,20,counts_direct,9,200,0.6408876615958756,5.225,0.0
e3_exact_online,prior,2,20,counts_direct,10,200,0.6835133905526454,5.85,0.065
e3_exact_online,prior,2,20,counts_direct,11,200,0.7167904771978588,6.43,0.045
e3_exact_online,prior,2,20,counts_direct,12,200,0.7525503534975949,7.015,0.04
e3_exact_online,prior,2,20,counts_direct,13,200,0.7832586222633096,7.63,0.03
e3_exact_online,prior,2,20,counts_direct,14,200,0.8215643114171935,8.245,0.06
e3_exact_online,prior,2,20,counts_direct,15,200,0.8505984578883939,8.83,0.015
e3_exact_online,prior,2,20,counts_direct,16,200,0.8798919306682588,9.49,0.045
e3_exact_online,prior,2,20,counts_direct,17,200,0.9088775674006909,10.135,0.04
e3_exact_online,prior,2,20,counts_direct,18,200,0.9381902434801023,10.73,0.045
e3_exact_online,prior,2,20,counts_direct,19,200,0.9654461396385868,11.42,0.035
e3_exact_online,prior,2,20,counts_direct,20,200,0.9945707596416119,12.12,0.05
e3_exact_online,prior,2,20,counts_sample,1,200,0.1627794140339295,0.515,0.0
e3_exact_online,prior,2,20,counts_sample,2,200,0.28537400739109925,1.04,0.215
e3_exact_online,prior,2,20,counts_sample,3,200,0.3921330844457534,1.605,0.115
e3_exact_online,prior,2,20,counts_sample,4,200,0.4776229382155943,2.18,0.195
e3_exact_online,prior,2,20,counts_sample,5,200,0.5494302131116133,2.765,0.12
e3_exact_online,prior,2,20,counts_sample,6,200,0.6241940672962398,3.31,0.12
e3_exact_online,prior,2,20,counts_sample,7,200,0.7117543004276787,3.84,0.15
e3_exact_online,prior,2,20,counts_sample,8,200,0.7878381663911675,4.45,0.15
e3_exact_online,prior,2,20,counts_sample,9,200,0.8605656800143526,5.065,0.115
e3_exact_online,prior,2,20,counts_sample,10,200,0.9110849625002043,5.7,0.09
e3_exact_online,prior,2,20,counts_sample,11,200,0.9725993262954523,6.245,0.13
e3_exact_online,prior,2,20,counts_sample,12,200,1.0308600051467953,6.805,0.125
e3_exact_online,prior,2,20,counts_sample,13,200,1.0795496811608825,7.38,0.16
e3_exact_online,prior,2,20,counts_sample,14,200,1.1253259811872167,8.0,0.135
e3_exact_online,prior,2,20,counts_sample,15,200,1.1623949323475429,8.555,0.07
e3_exact_online,prior,2,20,counts_sample,16,200,1.2246028391271109,9.16,0.13
e3_exact_online,prior,2,20,counts_sample,17,200,1.267277485836427,9.81,0.09
e3_exact_online,prior,2,20,counts_sample,18,200,1.3068899402251952,10.42,0.085
e3_exact_online,prior,2,20,counts_sample,19,200,1.3521413723560745,11.06,0.105
e3_exact_online,prior,2,20,counts_sample,20,200,1.3692945642297343,11.735,0.025
e3_exact_online,prior,2,20,dp_direct,1,200,0.15948094499342147,0.51,0.0
e3_exact_online,prior,2,20,dp_direct,2,200,0.2298112773167148,1.095,0.0
e3_exact_online,prior,2,20,dp_direct,3,200,0.331539590326238,1.645,0.0
e3_exact_online,prior,2,20,dp_direct,4,200,0.4000738496605819,2.28,0.105
e3_exact_online,prior,2,20,dp_direct,5,200,0.45569691576763094,2.855,0.125
e3_exact_online,prior,2,20,dp_direct,6,200,0.5033877823626386,3.445,0.005
e3_exact_online,prior,2,20,dp_direct,7,200,0.5680941755602054,4.025,0.085
e3_exact_online,prior,2,20,dp_direct,8,200,0.6034837621205934,4.635,0.07
e3_exact_online,prior,2,20,dp_direct,9,200,0.6421422702890538,5.29,0.03
e3_exact_online,prior,2,20,dp_direct,10,200,0.6755688616261335,5.93,0.01
e3_exact_online,prior,2,20,dp_direct,11,200,0.696866044206363,6.54,0.085
e3_exact_online,prior,2,20,dp_direct,12,200,0.726537583181986,7.145,0.0
e3_exact_online,prior,2,20,dp_direct,13,200,0.7466567868965207,7.77,0.01
e3_exact_online,prior,2,20,dp_direct,14,200,0.7724231141990667,8.4,0.085
e3_exact_online,prior,2,20,dp_direct,15,200,0.796360782642665,9.02,0.01
e3_exact_online,prior,2,20,dp_direct,16,200,0.8179745204643768,9.64,0.005
e3_exact_online,prior,2,20,dp_direct,17,200,0.839620132327693,10.305,0.035
e3_exact_online,prior,2,20,dp_direct,18,200,0.8581424195185133,10.905,0.005
e3_exact_online,prior,2,20,dp_direct,19,200,0.8747562816264894,11.58,0.0
e3_exact_online,prior,2,20,dp_direct,20,200,0.8917361902585762,12.275,0.0
e3_exact_online,prior,2,20,exact,1,200,0.1764116515462243,0.52,0.0
e3_exact_online,prior,2,20,exact,2,200,0.25079069298124546,1.085,0.0
e3_exact_online,prior,2,20,exact,3,200,0.35049181397416335,1.625,0.0
e3_exact_online,prior,2,20,exact,4,200,0.4079698030997358,2.265,0.09
e3_exact_online,prior,2,20,exact,5,200,0.46451653706409246,2.85,0.11
e3_exact_online,prior,2,20,exact,6,200,0.5076394082551353,3.44,0.005
e3_exact_online,prior,2,20,exact,7,200,0.562612835988203,4.0,0.075
e3_exact_online,prior,2,20,exact,8,200,0.5938570161400171,4.655,0.085
e3_exact_online,prior,2,20,exact,9,200,0.6337319173085788,5.305,0.03
e3_exact_online,prior,2,20,exact,10,200,0.6631364326768399,5.945,0.0
e3_exact_online,prior,2,20,exact,11,200,0.6861230428463417,6.545,0.075
e3_exact_online,prior,2,20,exact,12,200,0.7147603732980928,7.17,0.0
e3_exact_online,prior,2,20,exact,13,200,0.7401930200872733,7.79,0.01
e3_exact_online,prior,2,20,exact,14,200,0.762284425018195,8.405,0.085
e3_exact_online,prior,2,20,exact,15,200,0.7855961619967775,9.045,0.005
e3_exact_online,prior,2,20,exact,16,200,0.8053923294346857,9.64,0.005
e3_exact_online,prior,2,20,exact,17,200,0.8266511269854964,10.325,0.045
e3_exact_online,prior,2,20,exact,18,200,0.8447588565747016,10.93,0.005
e3_exact_online,prior,2,20,exact,19,200,0.8624709671437343,11.605,0.0
e3_exact_online,prior,2,20,exact,20,200,0.8791479861547822,12.3,0.0
e3_exact_online,prior,2,20,finite_ap_index,1,200,0.16128058552154706,0.49,0.0
e3_exact_online,prior,2,20,finite_ap_index,2,200,0.23757076342407385,1.09,0.0
e3_exact_online,prior,2,20,finite_ap_index,3,200,0.3222765846672523,1.66,0.0
e3_exact_online,prior,2,20,finite_ap_index,4,200,0.3835441244225464,2.295,0.105
e3_exact_online,prior,2,20,finite_ap_index,5,200,0.43936395782365373,2.875,0.0
e3_exact_online,prior,2,20,finite_ap_index,6,200,0.482278605312375,3.44,0.005
e3_exact_online,prior,2,20,finite_ap_index,7,200,0.5273411344035872,4.06,0.03
e3_exact_online,prior,2,20,finite_ap_index,8,200,0.5754696750765548,4.68,0.105
e3_exact_online,prior,2,20,finite_ap_index,9,200,0.6075950722979103,5.35,0.0
e3_exact_online,prior,2,20,finite_ap_index,10,200,0.6431006330733848,5.96,0.02
e3_exact_online,prior,2,20,finite_ap_index,11,200,0.6645667945109737,6.57,0.065
e3_exact_online,prior,2,20,finite_ap_index,12,200,0.6935927081663078,7.14,0.005
e3_exact_online,prior,2,20,finite_ap_index,13,200,0.7178753847191648,7.785,0.005
e3_exact_online,prior,2,20,finite_ap_index,14,200,0.7434025187384902,8.39,0.08
e3_exact_online,prior,2,20,finite_ap_index,15,200,0.7665295629961958,9.02,0.015
e3_exact_online,prior,2,20,finite_ap_index,16,200,0.7914027853658183,9.635,0.01
e3_exact_online,prior,2,20,finite_ap_index,17,200,0.81407927724069,10.325,0.03
e3_exact_online,prior,2,20,finite_ap_index,18,200,0.8343186704206874,10.935,0.0
e3_exact_online,prior,2,20,finite_ap_index,19,200,0.8535696516450675,11.58,0.0
e3_exact_online,prior,2,20,finite_ap_index,20,200,0.8711276021732156,12.28,0.0
e3_exact_online,prior,2,20,greedy,1,200,0.14793351084468706,0.54,0.0
e3_exact_online,prior,2,20,greedy,2,200,0.22282591063202709,1.115,0.0
e3_exact_online,prior,2,20,greedy,3,200,0.3003611225845246,1.67,0.0
e3_exact_online,prior,2,20,greedy,4,200,0.34959512155498484,2.285,0.0
e3_exact_online,prior,2,20,greedy,5,200,0.3968411173213749,2.915,0.0
e3_exact_online,prior,2,20,greedy,6,200,0.43759790026043527,3.49,0.0
e3_exact_online,prior,2,20,greedy,7,200,0.4812209307210697,4.075,0.0
e3_exact_online,prior,2,20,greedy,8,200,0.5152958665346454,4.715,0.0
e3_exact_online,prior,2,20,greedy,9,200,0.549193494150943,5.325,0.0
e3_exact_online,prior,2,20,greedy,10,200,0.5788204442373358,5.985,0.0
e3_exact_online,prior,2,20,greedy,11,200,0.6042183790780759,6.565,0.0
e3_exact_online,prior,2,20,greedy,12,200,0.6302467769216611,7.195,0.0
e3_exact_online,prior,2,20,greedy,13,200,0.6501078311134836,7.82,0.0
e3_exact_online,prior,2,20,greedy,14,200,0.6696800256205172,8.425,0.0
e3_exact_online,prior,2,20,greedy,15,200,0.688474079411541,9.03,0.0
e3_exact_online,prior,2,20,greedy,16,200,0.704706168173976,9.67,0.0
e3_exact_online,prior,2,20,greedy,17,200,0.7272042142552099,10.345,0.0
e3_exact_online,prior,2,20,greedy,18,200,0.7453751704340289,10.935,0.0
e3_exact_online,prior,2,20,greedy,19,200,0.7613508022881406,11.64,0.0
e3_exact_online,prior,2,20,greedy,20,200,0.777841646308069,12.355,0.0
e3_exact_online,prior,2,20,ids,1,200,0.14588003181302683,0.505,0.0
e3_exact_online,prior,2,20,ids,2,200,0.22231227536241288,1.1,0.0
e3_exact_online,prior,2,20,ids,3,200,0.32424191279805475,1.66,0.0
e3_exact_online,prior,2,20,ids,4,200,0.384520509884022,2.285,0.055
e3_exact_online,prior,2,20,ids,5,200,0.44318480514559333,2.895,0.045
e3_exact_online,prior,2,20,ids,6,200,0.48752275436479986,3.475,0.025
e3_exact_online,prior,2,20,ids,7,200,0.5303598937263007,4.07,0.02
e3_exact_online,prior,2,20,ids,8,200,0.5786418949973854,4.69,0.1
e3_exact_online,prior,2,20,ids,9,200,0.6153535780527695,5.33,0.025
e3_exact_online,prior,2,20,ids,10,200,0.6580439080548673,5.935,0.06
e3_exact_online,prior,2,20,ids,11,200,0.6906792432557205,6.52,0.075
