experiment,comparison_role,family,k,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,finite_ap_index,reward,-0.61,-0.775,-0.445,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,finite_ap_index,exact_loss,0.41357032661530657,0.3641648079321605,0.4675810338586298,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,greedy,pseudo_regret,0.5663254842274312,0.4293212930704829,0.7109792031757236,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,greedy,reward,-0.685,-0.865,-0.51,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,greedy,exact_loss,0.3528644349734192,0.29964875029315163,0.4088324693817397,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ids,pseudo_regret,0.4414559940222887,0.3329309428980307,0.5528772925244907,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ids,reward,-0.595,-0.75,-0.445,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ids,exact_loss,0.37906292353350723,0.32826156814425705,0.43336941449732924,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,knowledge_gradient,pseudo_regret,0.3988482082599357,0.2817753237829652,0.5146104534654683,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,knowledge_gradient,reward,-0.53,-0.705,-0.36,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,knowledge_gradient,exact_loss,0.3836150380499534,0.32966287746455075,0.439411873561623,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_sample,ts,pseudo_regret,-0.11154021163223993,-0.22106750731908525,-0.005066960070276123,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_sample,ts,reward,0.065,-0.105,0.235,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_sample,ts,exact_loss,-0.08730112979971309,-0.14859374964270328,-0.023510329051795852,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ucb1,pseudo_regret,-0.49900770667311606,-0.6409355060877435,-0.35704422579567485,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ucb1,reward,0.415,0.22,0.605,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_sample,ucb1,exact_loss,-0.5173144358117512,-0.5926752902905033,-0.4439931919259964,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,bayes_ucb,pseudo_regret,0.08311193288514876,-0.0984725185164592,0.28137720328059546,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,bayes_ucb,reward,-0.105,-0.34,0.115,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,bayes_ucb,exact_loss,0.12713681122695367,0.08472117742114604,0.17137237655126372,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_direct,exact,pseudo_regret,0.11542277348683044,-0.061091744239357856,0.3104524079318417,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_direct,exact,reward,-0.18,-0.42,0.045,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_direct,exact,exact_loss,0.18517007049668943,0.1405135092101882,0.23216467441812935,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,finite_ap_index,pseudo_regret,0.12344315746839701,-0.057752216572177446,0.32716583324526316,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,finite_ap_index,reward,-0.16,-0.4001249999999999,0.065,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,finite_ap_index,exact_loss,0.18352676816292038,0.13969547129591411,0.23088560695317853,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,greedy,pseudo_regret,0.2167291133335431,0.03131008872043495,0.416366015060465,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,greedy,reward,-0.235,-0.455,-0.03,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,greedy,exact_loss,0.12282087652103303,0.0795089433009576,0.16950770056383188,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ids,pseudo_regret,0.09185962312840051,-0.0640256096791194,0.27008270954227676,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ids,reward,-0.145,-0.36512499999999987,0.06,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ids,exact_loss,0.149019365081121,0.10736801070515066,0.19310741470727769,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,knowledge_gradient,pseudo_regret,0.049251837366047484,-0.12960743408825195,0.24455515652954593,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,knowledge_gradient,reward,-0.08,-0.325,0.15,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,knowledge_gradient,exact_loss,0.1535714795975671,0.10740928742350749,0.20345554294287896,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,counts_direct,ts,pseudo_regret,-0.46113658252612816,-0.6449123055016989,-0.259848033158289,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,counts_direct,ts,reward,0.515,0.23,0.775,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,counts_direct,ts,exact_loss,-0.3173446882520993,-0.37756197288845667,-0.2567981398048118,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ucb1,pseudo_regret,-0.8486040775670043,-1.0731621368764235,-0.6151703391309082,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ucb1,reward,0.865,0.57,1.15,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_direct,ucb1,exact_loss,-0.7473579942641375,-0.8246172930352039,-0.6693826121681892,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,bayes_ucb,pseudo_regret,0.4578357374732713,0.30970051197749576,0.6033632943640415,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,bayes_ucb,reward,-0.49,-0.685,-0.295,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,bayes_ucb,exact_loss,0.43099126650702635,0.36944543440031424,0.49445312365159066,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,counts_direct,pseudo_regret,0.3747238045881224,0.2063951414571458,0.5350462992854429,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,counts_direct,reward,-0.385,-0.61,-0.145,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,counts_direct,exact_loss,0.30385445528007277,0.2286688452654259,0.37898345414408885,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,exact,pseudo_regret,0.4901465780749528,0.35475381469240913,0.6351131024822927,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,exact,reward,-0.565,-0.76,-0.375,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,exact,exact_loss,0.48902452577676214,0.4274456683995427,0.5503402762476725,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,finite_ap_index,pseudo_regret,0.4981669620565195,0.3563605810316374,0.6407432907121443,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,finite_ap_index,reward,-0.545,-0.745,-0.35,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,finite_ap_index,exact_loss,0.4873812234429931,0.4271826195318823,0.5498813625649295,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,greedy,pseudo_regret,0.5914529179216657,0.4322470488504748,0.7556011795868679,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,greedy,reward,-0.62,-0.84,-0.41,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,greedy,exact_loss,0.42667533180110573,0.3625249783216113,0.49201993875725486,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ids,pseudo_regret,0.466583427716523,0.3336726660745204,0.6051074466081681,200,200,200,episode
