cohort,label_scheme,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,comparison_role,expected_pairs,missing_pairs
random,letters,10,path_explicit,nested,distribution_exact_loss,-0.008198362413067456,-0.010251615732751735,-0.006262820194248309,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,inline,nested,advice_adherence,0.05,0.025,0.08,100,100,100,fixture,primary_descriptive,100,0
random,letters,10,inline,nested,optimal_agreement,0.03,0.0125,0.0525,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,inline,nested,exact_loss,-0.002400922990053429,-0.004087447064980954,-0.0009355279268852113,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,inline,nested,distribution_exact_loss,-0.00196961706302502,-0.0024934396128934427,-0.0014809070536495447,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,per_option,nested,advice_adherence,0.0625,0.035,0.095,100,100,100,fixture,primary_descriptive,100,0
random,letters,10,per_option,nested,optimal_agreement,0.0425,0.02,0.07,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,per_option,nested,exact_loss,-0.0039236088375396785,-0.006507551444876035,-0.0017324935432603493,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,per_option,nested,distribution_exact_loss,-0.004092025310267946,-0.005075039606689237,-0.003213946307504201,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,advice_only,nested,advice_adherence,0.125,0.075,0.1825,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,advice_only,nested,optimal_agreement,0.105,0.0575,0.16,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,advice_only,nested,exact_loss,-0.006924961039182707,-0.010419169724165128,-0.0038394039738890956,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,advice_only,nested,distribution_exact_loss,0.03885480978543659,0.029827402765232422,0.04793393658769346,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,dp_values,nested,optimal_agreement,0.105,0.0575,0.16,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,dp_values,nested,exact_loss,-0.006924961039182707,-0.010484914988222896,-0.003850074863054943,100,100,100,fixture,secondary_exploratory,100,0
random,letters,10,dp_values,nested,distribution_exact_loss,-0.007481606980857174,-0.010746470387815324,-0.004401421769866741,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,path_explicit,nested,advice_adherence,0.0475,0.02,0.0775,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,path_explicit,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,path_explicit,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,path_explicit,nested,distribution_exact_loss,-0.00019155844155844225,-0.0004779775432900459,3.812297077922102e-05,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,inline,nested,advice_adherence,0.0325,0.01,0.0575,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,inline,nested,distribution_exact_loss,-0.00044020562770562857,-0.000800650703463204,-0.00014483089826839904,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,per_option,nested,advice_adherence,0.0475,0.02,0.0775,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,per_option,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,per_option,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,per_option,nested,distribution_exact_loss,-0.0004750541125541133,-0.0008012547348484859,-0.0002044886363636365,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,advice_only,nested,advice_adherence,0.0475,0.02,0.0775,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,advice_only,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,advice_only,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,advice_only,nested,distribution_exact_loss,0.037684496753246755,0.03168527191558442,0.04400974296536797,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,dp_values,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,dp_values,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,1,dp_values,nested,distribution_exact_loss,-0.0012439935064935074,-0.0020642924783549807,-0.0005478524080086586,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,path_explicit,nested,advice_adherence,0.0525,0.02,0.09,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,path_explicit,nested,optimal_agreement,0.0325,0.005,0.0675,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,path_explicit,nested,exact_loss,-0.0011994165255034815,-0.0025670995670995676,-0.00018210050818746437,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,path_explicit,nested,distribution_exact_loss,-0.0032723192206344357,-0.004314228779825238,-0.0023324333447349768,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,inline,nested,advice_adherence,0.01,-0.015,0.035,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,inline,nested,optimal_agreement,-0.01,-0.0275,0.0025,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,inline,nested,exact_loss,0.0006841491841491845,-0.0005851648351648333,0.0023562271062271046,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,inline,nested,distribution_exact_loss,0.0005327119076575597,0.00013607102883529798,0.000924183500602657,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,per_option,nested,advice_adherence,0.0325,0.01,0.0575,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,per_option,nested,optimal_agreement,0.0125,0.0,0.03,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,per_option,nested,exact_loss,-0.0009569922830792396,-0.0022733530961791845,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,per_option,nested,distribution_exact_loss,-0.0031160403093283477,-0.0038482895912963825,-0.002452407736285441,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,advice_only,nested,advice_adherence,0.0525,0.02,0.09,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,advice_only,nested,optimal_agreement,0.0325,0.005,0.0675,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,advice_only,nested,exact_loss,-0.0011994165255034815,-0.0025730754752493878,-0.00018210050818746437,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,advice_only,nested,distribution_exact_loss,0.0357737227355977,0.028556816605269708,0.04310592412795534,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,dp_values,nested,optimal_agreement,0.0325,0.005,0.065,100,100,100,fixture,secondary_exploratory,100,0
random,original,2,dp_values,nested,exact_loss,-0.0011994165255034815,-0.002540043290043291,-0.00018210050818746437,100,100,100,fixture,secondary_exploratory,100,0
