cohort,label_scheme,horizon,format,metric,mean,ci_low,ci_high,n_fixtures
random,letters,2,nested,choice_mismatch,0.0,0.0,0.0,100
random,letters,2,path_explicit,advice_adherence,1.0,1.0,1.0,100
random,letters,2,path_explicit,distribution_advice_adherence,0.96855,0.957299375,0.9787756249999999,100
random,letters,2,path_explicit,optimal_agreement,1.0,1.0,1.0,100
random,letters,2,path_explicit,exact_loss,0.0,0.0,0.0,100
random,letters,2,path_explicit,distribution_exact_loss,0.002233532472961832,0.001704185184833298,0.0028282194924640664,100
random,letters,2,path_explicit,posterior_mean_greedy,0.98,0.95,1.0,100
random,letters,2,path_explicit,prediction_entropy,0.10076486341903129,0.07494878098204677,0.12870935102835424,100
random,letters,2,path_explicit,choice_mismatch,0.0,0.0,0.0,100
random,letters,2,per_option,advice_adherence,0.985,0.96,1.0,100
random,letters,2,per_option,distribution_advice_adherence,0.9313250000000001,0.9066500000000001,0.952175,100
random,letters,2,per_option,optimal_agreement,0.985,0.96,1.0,100
random,letters,2,per_option,exact_loss,0.00019696969696969657,0.0,0.0005454545454545445,100
random,letters,2,per_option,distribution_exact_loss,0.00481958596656967,0.003710981910299852,0.006040598739801875,100
random,letters,2,per_option,posterior_mean_greedy,0.995,0.985,1.0,100
random,letters,2,per_option,prediction_entropy,0.1663345237345883,0.12967469736385107,0.205509936127058,100
random,letters,2,per_option,choice_mismatch,0.0,0.0,0.0,100
random,letters,10,advice_only,advice_adherence,1.0,1.0,1.0,100
random,letters,10,advice_only,distribution_advice_adherence,0.8067749999999999,0.80415,0.80935,100
random,letters,10,advice_only,optimal_agreement,1.0,1.0,1.0,100
random,letters,10,advice_only,exact_loss,0.0,0.0,0.0,100
random,letters,10,advice_only,distribution_exact_loss,0.050538759536011425,0.04323155396212156,0.058151105876714945,100
random,letters,10,advice_only,posterior_mean_greedy,0.94,0.89,0.98,100
random,letters,10,advice_only,prediction_entropy,0.46990821836861857,0.4669877503503657,0.472841648322195,100
random,letters,10,advice_only,choice_mismatch,0.0,0.0,0.0,100
random,letters,10,dp_values,optimal_agreement,1.0,1.0,1.0,100
random,letters,10,dp_values,exact_loss,0.0,0.0,0.0,100
random,letters,10,dp_values,distribution_exact_loss,0.004202342769717669,0.0035764028322137122,0.004848909216379601,100
random,letters,10,inline,advice_adherence,0.925,0.875,0.9675,100
random,letters,10,inline,distribution_advice_adherence,0.877175,0.8315231250000001,0.91780125,100
random,letters,10,inline,optimal_agreement,0.925,0.8725,0.97,100
random,letters,10,inline,exact_loss,0.004524038049129277,0.0018892320287722977,0.0076438501140261295,100
random,letters,10,inline,distribution_exact_loss,0.009714332687549824,0.00703918035150466,0.012623934727617185,100
random,letters,10,inline,posterior_mean_greedy,0.99,0.9775,1.0,100
random,letters,10,inline,prediction_entropy,0.18428782058943965,0.14305776634663947,0.22702875477714515,100
random,letters,10,inline,choice_mismatch,0.0,0.0,0.0,100
random,letters,10,nested,advice_adherence,0.875,0.8199375,0.9275,100
random,letters,10,nested,distribution_advice_adherence,0.8574499999999999,0.8119743750000002,0.89807625,100
random,letters,10,nested,optimal_agreement,0.895,0.8399375,0.9425,100
random,letters,10,nested,exact_loss,0.006924961039182707,0.0037239008861798036,0.010452356570879064,100
random,letters,10,nested,distribution_exact_loss,0.011683949750574843,0.00885446316389238,0.014768188541383762,100
random,letters,10,nested,posterior_mean_greedy,0.98,0.96,0.995,100
random,letters,10,nested,prediction_entropy,0.2155176755997899,0.17320395125600352,0.2580588214991271,100
random,letters,10,nested,choice_mismatch,0.0,0.0,0.0,100
random,letters,10,path_explicit,advice_adherence,1.0,1.0,1.0,100
random,letters,10,path_explicit,distribution_advice_adherence,0.9556999999999999,0.9385000000000002,0.9709749999999999,100
random,letters,10,path_explicit,optimal_agreement,1.0,1.0,1.0,100
random,letters,10,path_explicit,exact_loss,0.0,0.0,0.0,100
random,letters,10,path_explicit,distribution_exact_loss,0.0034855873375073875,0.0025036406483767656,0.004535175779468868,100
random,letters,10,path_explicit,posterior_mean_greedy,0.94,0.89,0.98,100
random,letters,10,path_explicit,prediction_entropy,0.12098663529390934,0.08887921247704826,0.1561539098284325,100
random,letters,10,path_explicit,choice_mismatch,0.0,0.0,0.0,100
random,letters,10,per_option,advice_adherence,0.9375,0.8875,0.98,100
random,letters,10,per_option,distribution_advice_adherence,0.9024,0.866999375,0.934525,100
random,letters,10,per_option,optimal_agreement,0.9375,0.885,0.98,100
random,letters,10,per_option,exact_loss,0.0030013522016430283,0.0008099801860345709,0.0058094104652505535,100
random,letters,10,per_option,distribution_exact_loss,0.007591924440306898,0.005546682050805899,0.00989887146824271,100
random,letters,10,per_option,posterior_mean_greedy,0.9975,0.9925,1.0,100
random,letters,10,per_option,prediction_entropy,0.1827706176687779,0.14039963175358613,0.2269832890014777,100
random,letters,10,per_option,choice_mismatch,0.0,0.0,0.0,100
random,original,1,advice_only,advice_adherence,1.0,1.0,1.0,100
random,original,1,advice_only,distribution_advice_adherence,0.8514000000000002,0.8491999999999998,0.8535750000000002,100
random,original,1,advice_only,optimal_agreement,1.0,1.0,1.0,100
random,original,1,advice_only,exact_loss,0.0,0.0,0.0,100
random,original,1,advice_only,distribution_exact_loss,0.03893701298701299,0.032985708874458876,0.04494070819805195,100
random,original,1,advice_only,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,1,advice_only,prediction_entropy,0.41735047956276156,0.4136418952589274,0.4211445899149456,100
random,original,1,advice_only,choice_mismatch,0.0,0.0,0.0,100
random,original,1,dp_values,optimal_agreement,1.0,1.0,1.0,100
random,original,1,dp_values,exact_loss,0.0,0.0,0.0,100
random,original,1,dp_values,distribution_exact_loss,8.522727272727293e-06,0.0,2.3295454545454593e-05,100
random,original,1,inline,advice_adherence,0.985,0.965,1.0,100
random,original,1,inline,distribution_advice_adherence,0.9647,0.946599375,0.980475,100
random,original,1,inline,optimal_agreement,1.0,1.0,1.0,100
random,original,1,inline,exact_loss,0.0,0.0,0.0,100
random,original,1,inline,distribution_exact_loss,0.0008123106060606061,0.00038763866341991367,0.0013400446428571413,100
random,original,1,inline,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,1,inline,prediction_entropy,0.08021003259916594,0.05122194417450926,0.1133531478880462,100
random,original,1,inline,choice_mismatch,0.0,0.0,0.0,100
random,original,1,nested,advice_adherence,0.9525,0.9225,0.98,100
random,original,1,nested,distribution_advice_adherence,0.9483249999999999,0.924424375,0.9699749999999999,100
random,original,1,nested,optimal_agreement,1.0,1.0,1.0,100
random,original,1,nested,exact_loss,0.0,0.0,0.0,100
random,original,1,nested,distribution_exact_loss,0.0012525162337662348,0.0005522456709956719,0.0020618567370129883,100
random,original,1,nested,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,1,nested,prediction_entropy,0.08960611978143446,0.05732948825534184,0.12513180880070665,100
random,original,1,nested,choice_mismatch,0.0,0.0,0.0,100
random,original,1,path_explicit,advice_adherence,1.0,1.0,1.0,100
random,original,1,path_explicit,distribution_advice_adherence,0.9739250000000002,0.9633743750000001,0.983675,100
random,original,1,path_explicit,optimal_agreement,1.0,1.0,1.0,100
random,original,1,path_explicit,exact_loss,0.0,0.0,0.0,100
random,original,1,path_explicit,distribution_exact_loss,0.0010609577922077926,0.0005555708874458888,0.0016535754870129875,100
random,original,1,path_explicit,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,1,path_explicit,prediction_entropy,0.07434026115595983,0.049145242004535926,0.10168013741269911,100
random,original,1,path_explicit,choice_mismatch,0.0,0.0,0.0,100
random,original,1,per_option,advice_adherence,1.0,1.0,1.0,100
random,original,1,per_option,distribution_advice_adherence,0.9695500000000001,0.95445,0.9825006250000001,100
random,original,1,per_option,optimal_agreement,1.0,1.0,1.0,100
random,original,1,per_option,exact_loss,0.0,0.0,0.0,100
random,original,1,per_option,distribution_exact_loss,0.0007774621212121214,0.0003332481060606057,0.0013127996482683996,100
random,original,1,per_option,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,1,per_option,prediction_entropy,0.0728212441935347,0.045997442169861374,0.10362051801778635,100
random,original,1,per_option,choice_mismatch,0.0,0.0,0.0,100
random,original,2,advice_only,advice_adherence,1.0,1.0,1.0,100
random,original,2,advice_only,distribution_advice_adherence,0.839075,0.8371,0.8410499999999999,100
random,original,2,advice_only,optimal_agreement,1.0,1.0,1.0,100
