cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
random,inline,label_scheme,horizon=1,letters,original,optimal_agreement,-0.005,-0.015,0.0,100,100,100,fixture,secondary_exploratory
random,inline,label_scheme,horizon=2,letters,original,optimal_agreement,0.0025,-0.0175,0.0225,100,100,100,fixture,secondary_exploratory
random,inline,label_scheme,horizon=10,letters,original,optimal_agreement,0.01,-0.0075,0.03,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=original,2,1,optimal_agreement,-0.0425,-0.08,-0.0125,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=original,10,1,optimal_agreement,-0.085,-0.14,-0.04,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=letters,2,1,optimal_agreement,-0.035,-0.07,-0.01,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=letters,10,1,optimal_agreement,-0.07,-0.12,-0.0275,100,100,100,fixture,secondary_exploratory
random,inline,label_scheme,horizon=1,letters,original,exact_loss,0.00045454545454545444,0.0,0.0013636363636363633,100,100,100,fixture,secondary_exploratory
random,inline,label_scheme,horizon=2,letters,original,exact_loss,-9.42716703586266e-05,-0.002020045172219084,0.0018159797629906315,100,100,100,fixture,secondary_exploratory
random,inline,label_scheme,horizon=10,letters,original,exact_loss,-0.00021081522269961184,-0.001854530526566105,0.001343860446284386,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=original,2,1,exact_loss,0.0018835657096526659,0.0004772727272727279,0.003774132434594389,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=original,10,1,exact_loss,0.004734853271828889,0.001995219796515676,0.007920227823148803,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=letters,2,1,exact_loss,0.0013347485847485848,0.00019696969696969823,0.0028712516650016627,100,100,100,fixture,secondary_exploratory
random,inline,horizon,labels=letters,10,1,exact_loss,0.004069492594583823,0.0016611498172456197,0.006997474586081533,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=1,letters,original,advice_adherence,-0.005,-0.0125,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=2,letters,original,advice_adherence,0.005,0.0,0.015,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=10,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,2,1,advice_adherence,-0.02,-0.05,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,10,1,advice_adherence,-0.0625,-0.1125,-0.02,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,2,1,advice_adherence,-0.01,-0.0375,0.0075,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,10,1,advice_adherence,-0.0575,-0.1075,-0.015,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=2,letters,original,optimal_agreement,0.005,0.0,0.015,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,2,1,optimal_agreement,-0.02,-0.05,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,10,1,optimal_agreement,-0.0625,-0.1125,-0.02,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,2,1,optimal_agreement,-0.015,-0.04,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,10,1,optimal_agreement,-0.0625,-0.1125,-0.02,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=2,letters,original,exact_loss,-4.5454545454545194e-05,-0.00013636363636363558,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,2,1,exact_loss,0.00024242424242424177,0.0,0.0006363636363636349,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=original,10,1,exact_loss,0.0030013522016430283,0.0007984643054653695,0.005755788572301542,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,2,1,exact_loss,0.00019696969696969657,0.0,0.0005454545454545445,100,100,100,fixture,secondary_exploratory
random,per_option,horizon,labels=letters,10,1,exact_loss,0.0030013522016430283,0.0007869635124519814,0.005756143184889689,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=10,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=original,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
