cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
targeted,advice_only,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=original,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=original,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=original,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=original,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=letters,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=original,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=original,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=letters,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,dp_values,horizon,labels=letters,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
