target,primitive,representation,k,mean_binary_excess_brier,mean_absolute_error,n_fixtures
best_arm,choice,bayes,2,0.08576126704265531,0.16679989989712282,30
best_arm,choice,bayes,5,0.09215243000112834,0.14232034160817633,30
best_arm,choice,bayes,15,0.04577705291603023,0.06922222163100623,30
best_arm,choice,counts,2,0.06963191708624339,0.1461280833127464,30
best_arm,choice,counts,5,0.0988551557637946,0.1394877878137933,30
best_arm,choice,counts,15,0.030186760204194602,0.05694624393613905,30
best_arm,choice,oracle_probs_full,2,0.13299806158053334,0.2042394603366833,30
best_arm,choice,oracle_probs_full,5,0.10718657589899443,0.15525539753253742,30
best_arm,choice,oracle_probs_full,15,0.051115504612152377,0.07312904808415602,30
best_arm,choice,oracle_probs_only,2,0.1321472679297397,0.2032394603366833,30
best_arm,choice,oracle_probs_only,5,0.10999093125054663,0.15691694049842822,30
best_arm,choice,oracle_probs_only,15,0.052336313597237435,0.07361154336289362,30
best_arm,noul,bayes,2,0.010828889443358192,0.053941716912571845,30
best_arm,noul,bayes,5,0.02134239317622384,0.06284913056395425,30
best_arm,noul,bayes,15,0.019880026945852634,0.047391786840347325,30
best_arm,noul,counts,2,0.021644548023848097,0.07167061413867254,30
best_arm,noul,counts,5,0.04404805158734838,0.0919204820617841,30
best_arm,noul,counts,15,0.019816968941423062,0.04935377163173742,30
best_arm,noul,oracle_probs_full,2,0.007620432232387367,0.04360457964456936,30
best_arm,noul,oracle_probs_full,5,0.0027274315470434797,0.028390559587523893,30
best_arm,noul,oracle_probs_full,15,0.0016954726870694976,0.02587182183283321,30
best_arm,noul,oracle_probs_only,2,0.008755659830965134,0.05329097996835663,30
best_arm,noul,oracle_probs_only,5,0.0054451987858796696,0.04534372670053364,30
best_arm,noul,oracle_probs_only,15,0.0041433603093444776,0.040330535466336796,30
next_reward,choice,bayes,2,0.05984904896210092,0.1576396103896104,30
next_reward,choice,bayes,5,0.05830913968378904,0.1521873015873016,30
next_reward,choice,bayes,15,0.04423414787745524,0.13022443482443483,30
next_reward,choice,counts,2,0.03561705040510236,0.11315584415584418,30
next_reward,choice,counts,5,0.020374585571234928,0.08057330447330449,30
next_reward,choice,counts,15,0.021242026665334028,0.08515305435305436,30
next_reward,choice,oracle_probs_full,2,0.018597295715347663,0.0791125541125541,30
next_reward,choice,oracle_probs_full,5,0.012895618760268112,0.06585295815295815,30
next_reward,choice,oracle_probs_full,15,0.008744949224256584,0.053121212121212125,30
next_reward,choice,oracle_probs_only,2,0.03123016728821924,0.10657792207792209,30
next_reward,choice,oracle_probs_only,5,0.02153887705752641,0.08301212121212122,30
next_reward,choice,oracle_probs_only,15,0.018763468704776066,0.07815425685425685,30
next_reward,noul,bayes,2,0.0039683923964443455,0.03793434343434344,30
next_reward,noul,bayes,5,0.004067537952187305,0.040441125541125555,30
next_reward,noul,bayes,15,0.002098024741332102,0.028145454545454553,30
next_reward,noul,counts,2,0.003003341891393841,0.033204906204906216,30
next_reward,noul,counts,5,0.0029710011556505086,0.032960317460317475,30
next_reward,noul,counts,15,0.0025551118024191625,0.028129292929292934,30
next_reward,noul,oracle_probs_full,2,0.00436089600394795,0.03834812409812409,30
next_reward,noul,oracle_probs_full,5,0.0030302883129376622,0.02964386724386724,30
next_reward,noul,oracle_probs_full,15,0.0030948183921257503,0.032575228475228465,30
next_reward,noul,oracle_probs_only,2,0.00573109802414997,0.0428531746031746,30
next_reward,noul,oracle_probs_only,5,0.004782155556804907,0.03511948051948052,30
next_reward,noul,oracle_probs_only,15,0.0038454802487876078,0.034258682058682065,30
