fixture_id,k,representation,target,primitive,mean_binary_excess_brier,mean_binary_excess_log_loss,mean_absolute_error
e10_primitive_bridge:15:0,15,bayes,best_arm,choice,0.025241843689512017,0.1826450686778899,0.05464910563941672
e10_primitive_bridge:15:0,15,bayes,best_arm,noul,0.0031735808412790925,0.01565183818415854,0.03333333333333333
e10_primitive_bridge:15:0,15,bayes,next_reward,choice,0.04017185085237033,0.04977580884160303,0.13165079365079366
e10_primitive_bridge:15:0,15,bayes,next_reward,noul,0.002430552151071634,0.002959502938320971,0.030031746031746038
e10_primitive_bridge:15:0,15,counts,best_arm,choice,0.025691267851313322,0.07587621979512627,0.05731553761568857
e10_primitive_bridge:15:0,15,counts,best_arm,noul,0.0038906303859612347,0.016497222312196,0.03118679449990792
e10_primitive_bridge:15:0,15,counts,next_reward,choice,0.026160018240537715,0.047483159143457056,0.09497546897546898
e10_primitive_bridge:15:0,15,counts,next_reward,noul,0.007172168312687793,0.01175853224568805,0.04463347763347763
e10_primitive_bridge:15:0,15,oracle_probs_full,best_arm,choice,0.028086468494263384,0.21775248448055295,0.06815986054555496
e10_primitive_bridge:15:0,15,oracle_probs_full,best_arm,noul,0.0018253780088398782,0.014505403865935991,0.026
e10_primitive_bridge:15:0,15,oracle_probs_full,next_reward,choice,0.00901574695626644,0.010110980018513013,0.05145310245310248
e10_primitive_bridge:15:0,15,oracle_probs_full,next_reward,noul,0.0015938133343328146,0.002029940844946282,0.020968253968253973
e10_primitive_bridge:15:0,15,oracle_probs_only,best_arm,choice,0.039673135160930045,0.23506810183871465,0.06882652721222163
e10_primitive_bridge:15:0,15,oracle_probs_only,best_arm,noul,0.005497362901096745,0.023530952083614394,0.04300000000000001
e10_primitive_bridge:15:0,15,oracle_probs_only,next_reward,choice,0.00934749298801247,0.010694515658229696,0.05641269841269842
e10_primitive_bridge:15:0,15,oracle_probs_only,next_reward,noul,0.0020740153545348366,0.0026530318392555957,0.02365079365079366
e10_primitive_bridge:15:1,15,bayes,best_arm,choice,0.042140605449953863,0.2632746768650386,0.06653131459040511
e10_primitive_bridge:15:1,15,bayes,best_arm,noul,0.01512876461795888,0.028117869810836103,0.050188429354131946
e10_primitive_bridge:15:1,15,bayes,next_reward,choice,0.04140991485666812,0.052630565048778936,0.12583549783549786
e10_primitive_bridge:15:1,15,bayes,next_reward,noul,0.0016551962419494894,0.0023353364850282102,0.024936507936507934
e10_primitive_bridge:15:1,15,counts,best_arm,choice,0.05010987994955096,0.14809701171642364,0.06823379643269857
e10_primitive_bridge:15:1,15,counts,best_arm,noul,0.044484864612625324,0.06866495649203655,0.07422717877759259
e10_primitive_bridge:15:1,15,counts,next_reward,choice,0.021571386718139966,0.03575526173152162,0.08235930735930735
e10_primitive_bridge:15:1,15,counts,next_reward,noul,0.0021848643516175982,0.0038697528089911334,0.026406926406926413
e10_primitive_bridge:15:1,15,oracle_probs_full,best_arm,choice,0.0534244599194101,0.36412545265233376,0.07386464792373844
e10_primitive_bridge:15:1,15,oracle_probs_full,best_arm,noul,0.001531988820397341,0.01733361467511536,0.02629821600120784
e10_primitive_bridge:15:1,15,oracle_probs_full,next_reward,choice,0.016402122648875892,0.021778133245603442,0.074005772005772
e10_primitive_bridge:15:1,15,oracle_probs_full,next_reward,noul,0.003967028853782099,0.0057401219617275135,0.03825974025974025
e10_primitive_bridge:15:1,15,oracle_probs_only,best_arm,choice,0.05565061527749305,0.8820830227900199,0.07519798125707178
e10_primitive_bridge:15:1,15,oracle_probs_only,best_arm,noul,0.0037661914844615,0.027424080748154844,0.04144311998040923
e10_primitive_bridge:15:1,15,oracle_probs_only,next_reward,choice,0.015473031739784981,0.02146866180236353,0.06452958152958152
e10_primitive_bridge:15:1,15,oracle_probs_only,next_reward,noul,0.0036134069201601672,0.006205962025458269,0.03192640692640693
e10_primitive_bridge:15:10,15,bayes,best_arm,choice,0.021109116371993204,0.23558650823534238,0.05828879776309388
e10_primitive_bridge:15:10,15,bayes,best_arm,noul,0.00542709264572931,0.018989931702069068,0.04107373082631478
e10_primitive_bridge:15:10,15,bayes,next_reward,choice,0.029902963212833353,0.036511695060502586,0.1050923520923521
e10_primitive_bridge:15:10,15,bayes,next_reward,noul,0.0012931508030209328,0.001718967478902747,0.021219336219336218
e10_primitive_bridge:15:10,15,counts,best_arm,choice,0.005092592509442256,0.05558020035489046,0.029548400270112452
e10_primitive_bridge:15:10,15,counts,best_arm,noul,0.004568472421890124,0.017628939576877927,0.032294923305259064
e10_primitive_bridge:15:10,15,counts,next_reward,choice,0.012662588032458165,0.020087582752871178,0.07209235209235212
e10_primitive_bridge:15:10,15,counts,next_reward,noul,0.0013749978448679748,0.001735354390036598,0.019790764790764803
e10_primitive_bridge:15:10,15,oracle_probs_full,best_arm,choice,0.06929748179455371,0.384870518529998,0.08585253834737044
e10_primitive_bridge:15:10,15,oracle_probs_full,best_arm,noul,0.0016991721001881903,0.015109044364051461,0.026554525812277633
e10_primitive_bridge:15:10,15,oracle_probs_full,next_reward,choice,0.011088042577912707,0.014232940744093965,0.06324098124098124
e10_primitive_bridge:15:10,15,oracle_probs_full,next_reward,noul,0.0038361811060512343,0.004862931778566807,0.04090764790764791
e10_primitive_bridge:15:10,15,oracle_probs_only,best_arm,choice,0.06509796303596303,0.25565013660653957,0.0831858716807038
e10_primitive_bridge:15:10,15,oracle_probs_only,best_arm,noul,0.0035152471772947045,0.020685886561119415,0.03866666666666666
e10_primitive_bridge:15:10,15,oracle_probs_only,next_reward,choice,0.020073756863626988,0.024187789312298088,0.08757431457431458
e10_primitive_bridge:15:10,15,oracle_probs_only,next_reward,noul,0.0046744206442907695,0.006140761649640868,0.039301587301587275
e10_primitive_bridge:15:11,15,bayes,best_arm,choice,0.04454939399900905,0.45349857352064427,0.07138419558342464
e10_primitive_bridge:15:11,15,bayes,best_arm,noul,0.02700659470859514,0.04935067170022888,0.04926829442437575
e10_primitive_bridge:15:11,15,bayes,next_reward,choice,0.03999200202395007,0.04978269377384121,0.13041991341991344
e10_primitive_bridge:15:11,15,bayes,next_reward,noul,0.0015110496429976959,0.002243603300469089,0.023627705627705633
e10_primitive_bridge:15:11,15,counts,best_arm,choice,0.028619727750404007,0.19662255990715133,0.058050862250091304
e10_primitive_bridge:15:11,15,counts,best_arm,noul,0.0208079740930639,0.03950847987568367,0.04580009580325066
e10_primitive_bridge:15:11,15,counts,next_reward,choice,0.015859101591049644,0.025235688461231743,0.0767878787878788
e10_primitive_bridge:15:11,15,counts,next_reward,noul,0.001507413279361332,0.001822207738821036,0.023610389610389616
e10_primitive_bridge:15:11,15,oracle_probs_full,best_arm,choice,0.04615620259987345,0.8286906665287704,0.07271752891675796
e10_primitive_bridge:15:11,15,oracle_probs_full,best_arm,noul,0.0014707541062391242,0.012271959167424924,0.02548446717149249
e10_primitive_bridge:15:11,15,oracle_probs_full,next_reward,choice,0.0067481059200539695,0.00859365419519033,0.0517922077922078
e10_primitive_bridge:15:11,15,oracle_probs_full,next_reward,noul,0.004410789902737954,0.005824293933654064,0.041125541125541114
e10_primitive_bridge:15:11,15,oracle_probs_only,best_arm,choice,0.04615620259987345,0.8286906665287704,0.07271752891675796
e10_primitive_bridge:15:11,15,oracle_probs_only,best_arm,noul,0.0037718364674198673,0.019036267109115244,0.038484467171492495
e10_primitive_bridge:15:11,15,oracle_probs_only,next_reward,choice,0.01903563838758644,0.024065047222785255,0.08107792207792208
e10_primitive_bridge:15:11,15,oracle_probs_only,next_reward,noul,0.004939794231742286,0.00719223687187743,0.04023376623376624
e10_primitive_bridge:15:12,15,bayes,best_arm,choice,0.05325840258220743,0.39515438843383793,0.07712287351281896
e10_primitive_bridge:15:12,15,bayes,best_arm,noul,0.011165824976487042,0.021302512707421825,0.03669336496095647
e10_primitive_bridge:15:12,15,bayes,next_reward,choice,0.020946987250363876,0.026676201346256166,0.08643290043290043
e10_primitive_bridge:15:12,15,bayes,next_reward,noul,0.0014153277987044228,0.0018077837999036274,0.02128427128427129
e10_primitive_bridge:15:12,15,counts,best_arm,choice,0.03738772847537708,0.22494953690750097,0.06810680357403595
e10_primitive_bridge:15:12,15,counts,best_arm,noul,0.006796058836376669,0.02277220873959146,0.03291220312393344
e10_primitive_bridge:15:12,15,counts,next_reward,choice,0.017830046413423044,0.03258840929942359,0.08229148629148628
e10_primitive_bridge:15:12,15,counts,next_reward,noul,0.0019028891262657514,0.0031201072907937194,0.02354401154401155
e10_primitive_bridge:15:12,15,oracle_probs_full,best_arm,choice,0.06554232475572695,0.9978939865015288,0.08512287351281896
e10_primitive_bridge:15:12,15,oracle_probs_full,best_arm,noul,0.001465738290676173,0.015314306258221241,0.025570596732323078
e10_primitive_bridge:15:12,15,oracle_probs_full,next_reward,choice,0.010401965605342227,0.013918568834698913,0.06367821067821068
e10_primitive_bridge:15:12,15,oracle_probs_full,next_reward,noul,0.0022376943210709443,0.0029717888081874366,0.02767821067821068
e10_primitive_bridge:15:12,15,oracle_probs_only,best_arm,choice,0.06554232475572695,0.9978939865015288,0.08512287351281896
e10_primitive_bridge:15:12,15,oracle_probs_only,best_arm,noul,0.0036575524569348876,0.023704380401432225,0.04077189657692386
e10_primitive_bridge:15:12,15,oracle_probs_only,next_reward,choice,0.010406525489902112,0.01307150889609676,0.05634487734487735
e10_primitive_bridge:15:12,15,oracle_probs_only,next_reward,noul,0.002521850165226789,0.0036704946551561943,0.02373881673881674
e10_primitive_bridge:15:13,15,bayes,best_arm,choice,0.013034096385022844,0.197829942675597,0.03763726376496701
e10_primitive_bridge:15:13,15,bayes,best_arm,noul,0.007579475515997783,0.02566541384010045,0.029706599739037047
e10_primitive_bridge:15:13,15,bayes,next_reward,choice,0.06608913151302762,0.08045495968187782,0.15716017316017317
e10_primitive_bridge:15:13,15,bayes,next_reward,noul,0.0027857837496798573,0.0036404462726053544,0.03327128427128429
e10_primitive_bridge:15:13,15,counts,best_arm,choice,0.009417848670534107,0.09820884146423745,0.03230393043163368
e10_primitive_bridge:15:13,15,counts,best_arm,noul,0.006150061883191242,0.020834929863503018,0.0280371218162506
e10_primitive_bridge:15:13,15,counts,next_reward,choice,0.025597876101772218,0.03573167173164136,0.09931601731601733
e10_primitive_bridge:15:13,15,counts,next_reward,noul,0.0036750766789727823,0.00476796127129223,0.03528571428571429
e10_primitive_bridge:15:13,15,oracle_probs_full,best_arm,choice,0.013989895261714687,0.4229579353970383,0.03897059709830034
