target,left,right,representation,metric,mean_difference,ci95_low,ci95_high,ci97_5_low,ci97_5_high,complete,status
next_reward,choice,noul,bayes,mean_binary_excess_brier,0.05075279381112715,0.04649204204345038,0.05515730280583613,0.04594613879068462,0.05584395788239538,True,prespecified full design
best_arm,noul,choice,bayes,mean_binary_excess_brier,-0.05721314679812642,-0.07024135152864452,-0.04519054600972612,-0.07212749998550162,-0.04368961891838792,True,prespecified full design
