fixture_id,k,representation,repeat,sum_probabilities,absolute_sum_error,normalization_defined,normalized_mean_binary_excess_brier
e10_primitive_bridge:15:0,15,bayes,0,1.5200000000000002,0.5200000000000002,True,0.001008802382904557
e10_primitive_bridge:15:0,15,bayes,1,1.4800000000000002,0.4800000000000002,True,0.0011092799866892166
e10_primitive_bridge:15:0,15,counts,0,1.34,0.3400000000000001,True,0.0017261460133116675
e10_primitive_bridge:15:0,15,counts,1,1.3500000000000003,0.3500000000000003,True,0.001886032061690595
e10_primitive_bridge:15:0,15,oracle_probs_full,0,1.3800000000000001,0.3800000000000001,True,0.0011545037989070183
e10_primitive_bridge:15:0,15,oracle_probs_full,1,1.4000000000000001,0.40000000000000013,True,0.0010258690986463754
e10_primitive_bridge:15:0,15,oracle_probs_only,0,1.6400000000000003,0.6400000000000003,True,0.0016902844485412627
e10_primitive_bridge:15:0,15,oracle_probs_only,1,1.6500000000000004,0.6500000000000004,True,0.001750191748043518
e10_primitive_bridge:15:1,15,bayes,0,1.6200000000000003,0.6200000000000003,True,0.0016531363076496995
e10_primitive_bridge:15:1,15,bayes,1,1.6300000000000006,0.6300000000000006,True,0.00163553085705946
e10_primitive_bridge:15:1,15,counts,0,1.4300000000000002,0.43000000000000016,True,0.02397585323065644
e10_primitive_bridge:15:1,15,counts,1,1.3800000000000003,0.38000000000000034,True,0.025925542191879182
e10_primitive_bridge:15:1,15,oracle_probs_full,0,1.3700000000000003,0.37000000000000033,True,0.003257411840118846
e10_primitive_bridge:15:1,15,oracle_probs_full,1,1.3200000000000003,0.3200000000000003,True,0.002795098730581826
e10_primitive_bridge:15:1,15,oracle_probs_only,0,1.6300000000000006,0.6300000000000006,True,0.004311589307139583
e10_primitive_bridge:15:1,15,oracle_probs_only,1,1.5700000000000005,0.5700000000000005,True,0.005058309153889381
e10_primitive_bridge:15:10,15,bayes,0,1.48,0.48,True,0.002517852200742322
