experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,strict_non_greedy,0.00375,0.0,0.01125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,unseen_arm,0.00125,0.0,0.00375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,equal_mean_higher_sd,0.0125,0.005,0.02,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.015,0.0075,0.02375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,posterior_mean_deficit,0.00020618335053319565,0.0,0.000618550051599587,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,chosen_posterior_sd,0.10105312966742278,0.09786326210118206,0.10437631846660592,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,bayes_ucb_agreement,0.63375,0.57,0.69375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,knowledge_gradient_agreement,0.955,0.93125,0.975,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,bayes_ucb_top_set_size,1.00625,1.00125,1.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.00625,1.00125,1.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,exact_loss,0.001063790164063825,0.00032186419017674744,0.0020094114684222736,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,strict_exploration_required,0.03375,0.0175,0.0525,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,inferior_non_greedy,0.00375,0.0,0.01125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
