experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205843605059227,0.0,0.75,1.0,1.0,0.00032705389848242117,0.25,0.0,0.0,0.0,0.75
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2621886974951644,1.0,0.75,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15668652406376832,0.6666666666666666,0.75,1.0,1.0,0.0012415543140333145,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11307404639952898,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2621886974951644,1.0,0.75,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.00946969696969697,0.17392843582544293,0.75,0.9166666666666666,1.0,1.1666666666666667,0.0022556443523465974,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205843605059227,0.0,0.75,1.0,1.0,0.00032705389848242117,0.25,0.0,0.0,0.0,0.75
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2621886974951644,1.0,0.75,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,middle,12,0.75,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333,0.02202380952380953,0.17634302342193142,0.75,0.6666666666666666,1.0833333333333333,1.25,0.013593554931567367,0.0,0.0,0.25,0.0,0.6666666666666666
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:1,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.014423076923076927,0.13053772865924912,0.75,0.75,1.0,1.0,0.010897435897435914,0.0,0.0,0.25,0.0,0.75
